Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,196.4,"$599,400",11.59%,202.7,"$754,200",13.05%,207.7,"$587,200",12.70%,188.9,"$412,900",11.12%,169.6,"$340,900",7.14%
Halton Region,205.6,"$672,600",10.54%,203.2,"$754,000",10.98%,210.5,"$546,100",12.39%,185.8,"$366,700",7.09%,-,-,-
Burlington,203.0,"$601,200",8.61%,200.2,"$704,800",9.22%,198.8,"$474,100",3.22%,187.1,"$373,600",6.55%,-,-,-
Halton Hills,187.0,"$544,500",9.74%,190.7,"$610,100",12.71%,208.0,"$512,300",15.24%,170.4,"$307,200",3.84%,-,-,-
Milton,201.2,"$555,600",13.54%,190.2,"$659,500",14.17%,209.6,"$523,200",15.87%,174.4,"$319,700",7.46%,-,-,-
Oakville,214.3,"$790,200",9.50%,213.6,"$885,300",9.76%,216.3,"$585,400",9.74%,191.5,"$422,900",7.95%,-,-,-
Peel Region,187.1,"$512,100",11.84%,189.9,"$643,600",12.04%,193.7,"$494,100",12.42%,189.5,"$392,100",10.75%,157.7,"$271,700",9.29%
Brampton,183.9,"$469,300",13.52%,183.1,"$535,600",13.09%,187.2,"$441,000",14.08%,177.6,"$329,800",12.48%,143.9,"$225,200",7.87%
Caledon,171.0,"$610,300",9.97%,171.1,"$629,500",9.33%,191.9,"$474,400",14.16%,-,-,-,-,-,-
Mississauga,191.1,"$534,700",10.72%,201.9,"$753,700",11.42%,201.7,"$551,000",10.52%,193.5,"$415,600",10.38%,160.2,"$281,000",9.50%
City of Toronto,193.3,"$633,800",9.33%,207.0,"$897,600",11.05%,211.2,"$701,800",10.29%,192.2,"$464,500",10.52%,172.0,"$355,400",6.77%
York Region,221.9,"$762,000",15.39%,225.9,"$888,200",16.62%,228.2,"$661,300",15.66%,199.7,"$507,800",14.57%,171.1,"$371,100",7.68%
Aurora,214.8,"$691,400",19.20%,214.4,"$796,500",18.39%,221.4,"$572,500",20.00%,173.1,"$438,500",16.88%,177.2,"$366,400",13.66%
