Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,214.9,"$656,000",16.73%,224.9,"$836,900",19.31%,228.6,"$646,600",18.14%,205.5,"$449,200",14.68%,177.7,"$357,200",9.35%
Halton Region,226.8,"$741,900",17.45%,224.6,"$833,400",17.90%,230.5,"$598,000",18.88%,204.5,"$403,600",11.93%,-,-,-
Burlington,230.5,"$682,700",16.36%,227.3,"$800,200",14.91%,230.2,"$549,000",15.79%,204.8,"$409,000",10.64%,-,-,-
Halton Hills,201.4,"$586,400",14.17%,205.0,"$655,800",17.08%,223.7,"$550,900",19.18%,190.0,"$342,500",10.79%,-,-,-
Milton,216.8,"$598,700",17.76%,204.6,"$709,400",18.13%,225.6,"$563,200",19.87%,192.6,"$353,100",12.76%,-,-,-
Oakville,237.3,"$875,100",18.00%,237.0,"$982,200",18.56%,239.2,"$647,400",18.30%,210.9,"$465,700",12.84%,-,-,-
Peel Region,205.3,"$562,000",17.31%,209.6,"$710,400",17.95%,213.7,"$545,200",18.20%,206.9,"$428,100",14.88%,167.6,"$288,800",13.70%
Brampton,203.3,"$518,800",18.96%,202.4,"$592,000",18.02%,207.4,"$488,600",19.47%,196.6,"$365,100",21.81%,154.2,"$241,300",13.05%
Caledon,189.0,"$674,600",20.46%,189.3,"$696,500",19.51%,209.5,"$518,000",22.16%,-,-,-,-,-,-
Mississauga,208.3,"$582,800",15.85%,222.3,"$829,900",17.74%,221.8,"$605,900",16.80%,210.5,"$452,000",13.05%,170.1,"$298,400",13.86%
City of Toronto,208.0,"$682,000",13.35%,228.0,"$988,600",17.22%,229.9,"$763,900",15.12%,207.2,"$500,800",13.29%,179.5,"$370,900",8.52%
York Region,247.9,"$851,400",21.34%,254.8,"$1,002,000",23.51%,253.6,"$736,200",20.65%,216.2,"$549,700",17.12%,179.5,"$389,400",9.18%
Aurora,239.4,"$770,600",23.47%,240.7,"$894,200",24.46%,243.3,"$629,100",20.21%,186.3,"$471,900",23.95%,188.5,"$389,800",14.87%
