Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,167.9,"$512,200 ",7.77%,169.1,"$628,800 ",8.19%,174.6,"$493,200 ",8.31%,163.5,"$358,100 ",7.07%,156.7,"$314,700 ",5.24%
Halton Region,176,"$577,300 ",7.19%,172.9,"$641,200 ",6.60%,176.4,"$457,800 ",7.82%,169.5,"$335,500 ",3.67%,-,-,-
Burlington,183.4,"$528,600 ",5.95%,179.4,"$613,200 ",4.42%,182.1,"$434,100 ",9.44%,179.9,"$361,300 ",4.05%,-,-,-
Halton Hills,160.4,"$467,000 ",4.50%,160.3,"$512,800 ",5.05%,169.8,"$418,200 ",6.73%,158,"$284,900 ",0.13%,-,-,-
Milton,165.9,"$465,300 ",7.66%,154.6,"$538,600 ",6.18%,168.8,"$421,400 ",7.58%,-,-,-,-,-,-
Oakville,185.1,"$682,900 ",7.12%,183.6,"$760,900 ",6.87%,187.1,"$506,400 ",7.41%,170.1,"$375,700 ",4.48%,-,-,-
Peel Region,160.1,"$437,900 ",6.10%,161.1,"$545,300 ",6.06%,163.1,"$416,200 ",6.46%,165.3,"$342,100 ",6.17%,143.6,"$247,100 ",4.06%
Brampton,153.1,"$390,500 ",5.81%,153,"$447,200 ",5.15%,154.9,"$364,900 ",5.73%,149.6,"$277,900 ",5.58%,128.3,"$200,800 ",4.56%
Caledon,148.9,"$530,500 ",2.27%,149.6,"$549,100 ",2.12%,161.9,"$400,300 ",4.25%,-,-,-,-,-,-
Mississauga,166.5,"$465,400 ",6.73%,173,"$644,600 ",7.86%,172.5,"$471,400 ",7.34%,170.4,"$365,900 ",6.57%,146.4,"$256,300 ",4.05%
City of Toronto,171.8,"$563,000 ",7.85%,178.5,"$773,800 ",9.71%,185.5,"$615,200 ",8.86%,167.3,"$404,600 ",7.45%,159.6,"$329,500 ",5.28%
York Region,179.4,"$615,600 ",9.66%,179.7,"$706,000 ",9.11%,183.6,"$531,900 ",10.14%,165,"$420,600 ",7.28%,156.9,"$340,900 ",5.30%
Aurora,172,"$553,800 ",10.33%,171,"$635,300 ",10.54%,176.5,"$456,800 ",11.08%,145.4,"$368,300 ",2.32%,152.3,"$316,400 ",4.32%
E. Gwillimbury,155.1,"$501,400 ",5.08%,155.7,"$511,500 ",4.99%,166.4,"$352,300 ",8.12%,-,-,-,-,-,-
Georgina,155.1,"$321,900 ",0.06%,160.7,"$331,000 ",1.13%,168.9,"$332,900 ",7.85%,-,-,-,-,-,-
King,166.4,"$705,400 ",7.70%,168.2,"$709,700 ",7.96%,-,-,-,-,-,-,-,-,-
Markham,186,"$640,700 ",10.91%,189.8,"$780,500 ",10.67%,190.1,"$566,100 ",11.82%,170.2,"$422,800 ",7.79%,159.6,"$369,100 ",5.70%
Newmarket,163.5,"$482,200 ",9.73%,161.1,"$542,300 ",9.89%,168.9,"$398,000 ",9.11%,163.4,"$329,900 ",2.64%,153.1,"$257,800 ",2.20%
