Region,Unnamed: 1,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,,166.3,"$507,300",7.08%,167.5,"$622,800",7.72%,172.8,"$488,200",7.66%,162.0,"$354,800",6.79%,155.2,"$311,700",3.81%
Halton Region,,175.9,"$577,000",7.39%,173.0,"$641,500",6.59%,176.2,"$457,300",7.64%,167.5,"$331,600",6.48%,-,-,-
Burlington,,182.8,"$526,800",6.53%,180.6,"$617,300",5.18%,179.3,"$427,400",8.14%,177.3,"$356,000",6.49%,-,-,-
Halton Hills,,160.0,"$465,900",4.37%,159.8,"$511,200",4.31%,170.4,"$419,700",6.50%,156.8,"$282,700",3.29%,-,-,-
Milton,,166.9,"$468,100",7.61%,155.1,"$540,300",5.51%,169.5,"$423,200",7.35%,-,-,-,-,-,-
Oakville,,184.8,"$681,800",7.57%,183.8,"$761,800",7.23%,186.3,"$504,300",7.69%,168.2,"$371,500",7.54%,-,-,-
Peel Region,,158.7,"$434,100",5.52%,159.8,"$540,900",5.69%,161.2,"$411,300",5.64%,164.4,"$340,200",5.66%,142.3,"$244,900",3.04%
Brampton,,151.5,"$386,500",5.28%,151.7,"$443,400",4.77%,152.9,"$360,200",5.01%,149.2,"$277,200",6.19%,127.1,"$198,900",3.42%
Caledon,,148.8,"$530,200",3.19%,149.8,"$549,900",3.45%,160.7,"$397,300",3.28%,-,-,-,-,-,-
Mississauga,,165.1,"$461,500",5.97%,171.4,"$638,600",7.13%,170.9,"$467,100",6.61%,169.3,"$363,600",5.61%,145.1,"$254,100",3.13%
City of Toronto,,170.4,"$558,500",7.04%,177.3,"$768,600",9.51%,183.7,"$609,200",8.31%,166.5,"$402,700",7.84%,158.2,"$326,700",3.67%
York Region,,176.7,"$606,400",8.60%,176.9,"$695,000",7.73%,180.8,"$523,800",9.05%,162.3,"$413,700",6.92%,155.9,"$338,700",5.55%
Aurora,,168.9,"$543,900",9.04%,168.0,"$624,100",9.38%,173.6,"$449,300",9.80%,143.4,"$363,200",0.21%,149.3,"$310,200",4.41%
E. Gwillimbury,,156.7,"$506,600",7.70%,157.2,"$516,400",7.16%,165.8,"$351,000",9.73%,-,-,-,-,-,-
Georgina,,154.5,"$320,700",2.59%,159.9,"$329,400",3.50%,166.2,"$327,500",8.91%,-,-,-,-,-,-
King,,163.8,"$694,400",7.13%,165.3,"$697,500",7.27%,-,-,-,-,-,-,-,-,-
Markham,,182.2,"$627,600",9.43%,185.4,"$762,400",8.80%,185.7,"$553,000",10.21%,167.6,"$416,400",8.62%,159.9,"$369,800",5.41%
Newmarket,,161.2,"$475,400",9.14%,159.2,"$535,900",9.72%,166.6,"$392,600",8.60%,162.1,"$327,300",1.25%,150.1,"$252,800",2.46%
Richmond Hill,,185.8,"$672,700",8.46%,195.8,"$829,500",8.48%,191.4,"$579,800",7.95%,154.1,"$435,700",6.79%,152.4,"$317,400",5.18%
Vaughan,,175.5,"$634,400",8.53%,168.0,"$699,100",5.66%,180.1,"$548,300",8.89%,171.0,"$467,200",11.69%,154.9,"$343,700",6.17%
Whitchurch-Stouffville,,171.0,"$644,700",6.41%,171.1,"$656,600",6.54%,153.2,"$420,800",5.44%,-,-,-,-,-,-
Durham Region,,147.3,"$346,600",7.91%,146.2,"$381,200",7.34%,153.0,"$306,400",8.43%,137.2,"$225,500",7.78%,139.3,"$249,200",10.21%
Ajax,,153.3,"$378,800",7.73%,152.8,"$409,200",6.18%,160.1,"$344,300",7.52%,140.5,"$256,800",8.33%,135.2,"$229,600",10.19%
Brock,,131.0,"$248,300",5.05%,131.6,"$250,100",5.20%,145.2,"$231,400",12.04%,-,-,-,-,-,-
Clarington,,144.9,"$306,600",9.86%,139.2,"$334,500",7.49%,148.5,"$283,500",10.24%,158.2,"$283,200",8.88%,139.6,"$197,600",12.13%
Oshawa,,142.5,"$272,700",7.71%,141.6,"$301,500",7.76%,147.8,"$247,500",8.04%,122.8,"$164,300",8.29%,138.9,"$166,200",6.93%
Pickering,,154.9,"$419,000",10.01%,157.4,"$492,400",11.00%,159.5,"$371,800",9.77%,146.3,"$263,900",7.57%,143.7,"$281,400",12.27%
Scugog,,143.9,"$373,400",2.64%,148.0,"$381,100",2.71%,140.0,"$293,000",15.61%,-,-,-,-,-,-
Uxbridge,,143.3,"$438,200",8.56%,143.6,"$444,800",8.05%,140.5,"$344,800",8.66%,-,-,-,-,-,-
Whitby,,145.8,"$380,400",6.27%,146.0,"$419,400",6.34%,151.1,"$333,300",7.62%,137.8,"$252,600",5.67%,136.1,"$265,500",6.41%
Dufferin County,,152.2,"$348,800",5.69%,156.8,"$357,300",6.16%,149.8,"$280,800",3.10%,-,-,-,-,-,-
Orangeville,,152.2,"$348,800",5.69%,156.8,"$357,300",6.16%,149.8,"$280,800",3.10%,-,-,-,-,-,-
Simcoe County,,148.4,"$315,400",5.40%,144.2,"$318,000",4.80%,155.2,"$298,000",6.52%,-,-,-,-,-,-
Adjala-Tosorontio,,137.6,"$433,400",8.35%,137.4,"$433,200",8.19%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,,165.5,"$411,300",8.38%,150.4,"$460,700",8.91%,170.3,"$354,100",7.72%,-,-,-,-,-,-
Essa,,146.3,"$331,800",4.35%,143.9,"$355,900",4.96%,148.0,"$252,100",3.14%,-,-,-,-,-,-
Innisfil,,145.4,"$269,400",3.34%,145.8,"$270,600",2.82%,156.8,"$243,900",10.19%,-,-,-,-,-,-
New Tecumseth,,136.8,"$316,000",4.83%,133.6,"$344,100",4.70%,143.0,"$273,500",5.22%,-,-,-,-,-,-
