Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,247.3,"$751,700",3.21%,247.1,"$915,300",-2.06%,250.6,"$704,900",-0.75%,249.1,"$552,600",7.46%,239.9,"$479,200",18.82%
Halton Region,257.6,"$830,600",1.58%,258.4,"$953,100",-0.15%,265.7,"$679,700",0.19%,275.3,"$507,800",6.09%,232.1,"$429,200",8.51%
Burlington,255.6,"$694,400",3.82%,256.1,"$867,000",0.59%,269.4,"$646,300",7.72%,282.6,"$519,400",6.28%,231.6,"$381,200",8.22%
Halton Hills,243.1,"$719,500",-0.25%,243.1,"$790,900",-0.49%,249.4,"$565,100",-2.27%,246.5,"$396,200",7.17%,220.2,"$445,200",8.10%
Milton,244.8,"$725,700",-3.05%,242.4,"$867,500",-3.81%,254.6,"$615,300",-4.32%,250.1,"$414,100",6.79%,229.5,"$467,500",11.03%
Oakville,267.8,"$979,600",2.02%,269.5,"$1,139,200",0.71%,277.1,"$773,700",1.06%,274.7,"$594,400",5.94%,233.7,"$448,900",8.19%
Peel Region,235.8,"$669,600",2.34%,233.9,"$825,800",-0.76%,237.3,"$607,500",0.04%,236.0,"$506,700",4.66%,229.2,"$394,000",14.89%
Brampton,237.2,"$601,500",2.68%,231.5,"$676,100",1.31%,238.2,"$558,700",2.58%,238.8,"$436,500",8.35%,221.0,"$329,900",11.50%
Caledon,207.4,"$761,600",2.62%,206.7,"$785,700",2.07%,236.3,"$583,800",3.73%,-,-,-,236.8,"$575,700",21.69%
Mississauga,236.9,"$703,100",2.02%,242.0,"$966,600",-3.51%,236.2,"$651,400",-3.47%,235.0,"$528,200",3.43%,230.6,"$406,500",15.42%
City of Toronto,249.1,"$807,500",9.54%,248.4,"$1,090,000",-1.51%,256.3,"$854,400",2.36%,251.6,"$607,100",13.08%,245.8,"$504,700",20.91%
York Region,255.5,"$862,600",-4.70%,260.3,"$990,500",-7.40%,257.0,"$743,500",-7.19%,238.5,"$610,600",4.56%,218.4,"$480,100",17.36%
Aurora,256.1,"$847,500",-5.39%,256.8,"$970,000",-6.92%,257.0,"$662,800",-6.58%,239.2,"$654,000",-0.33%,243.8,"$509,700",8.84%
