Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,278.9,"846,100",10.19%,268.4,"991,000",9.24%,278.9,"784,100",9.80%,285.0,"629,200",9.49%,289.8,"578,400",11.98%
Halton Region,294.8,"950,600",14.18%,290.5,"1,071,500",13.97%,299.7,"766,700",11.87%,325.8,"600,900",13.01%,281.6,"520,800",18.12%
Burlington,307.4,"835,100",18.28%,302.7,"1,024,700",20.02%,322.7,"774,200",16.25%,336.7,"618,800",13.25%,282.8,"465,500",18.43%
Halton Hills,276.7,"818,900",11.21%,272.0,"885,000",10.52%,287.7,"651,900",12.34%,311.0,"499,800",13.92%,271.7,"549,400",19.43%
Milton,279.1,"827,400",12.00%,274.7,"983,100",11.12%,290.8,"702,800",12.10%,292.0,"483,500",13.75%,277.1,"564,400",17.12%
Oakville,294.6,"1,077,600",12.19%,293.1,"1,239,000",11.83%,298.1,"832,400",9.31%,314.2,"679,900",12.05%,282.2,"542,100",18.12%
Peel Region,277.0,"785,400",11.96%,267.6,"944,800",10.67%,276.6,"708,100",11.85%,273.0,"586,100",12.07%,297.0,"509,200",15.97%
Brampton,276.6,"701,400",11.62%,269.5,"787,100",11.18%,280.3,"657,400",12.57%,272.3,"497,900",11.83%,276.8,"413,200",14.14%
Caledon,231.3,"849,400",5.96%,231.7,"880,800",5.99%,266.1,"657,400",7.56%,-,-,-,244.5,"594,400",6.03%
Mississauga,281.1,"832,300",12.67%,271.8,"1,085,600",10.71%,271.8,"749,600",11.17%,273.2,"614,100",12.15%,300.5,"527,900",16.25%
City of Toronto,287.6,"932,500",9.40%,270.0,"1,184,800",8.09%,286.5,"955,100",7.99%,280.4,"667,500",4.98%,296.6,"609,200",10.96%
York Region,263.5,"889,000",6.46%,264.0,"1,004,600",5.60%,265.4,"767,800",7.15%,250.8,"644,000",5.69%,245.0,"537,300",10.96%
Aurora,263.9,"873,300",5.81%,260.2,"982,900",4.96%,268.8,"693,200",6.62%,257.6,"705,000",8.92%,259.0,"541,400",7.07%
East Gwillimbury,228.1,"779,400",3.31%,232.2,"827,600",2.65%,241.9,"506,000",5.63%,-,-,-,-,-,-
