Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,295.8,"897,700",11.58%,289.6,"1,069,500",12.95%,299.7,"842,200",13.01%,308.4,"677,500",13.30%,294.7,"590,700",8.11%
City of Toronto,299.6,"971,500",9.02%,290.3,"1,273,800",12.17%,307.1,"1,023,600",11.23%,306.0,"729,200",11.27%,300.6,"619,200",6.79%
Toronto W01,284.5,"1,146,500",8.13%,274.1,"1,430,300",12.80%,290.8,"1,121,400",12.71%,295.2,"624,800",12.71%,285.8,"646,200",4.96%
Toronto W02,333.9,"1,186,900",10.97%,311.4,"1,317,300",11.37%,354.5,"1,086,600",10.95%,373.2,"719,900",12.41%,327.6,"703,200",9.46%
Toronto W03,332.1,"856,000",12.88%,335.8,"913,000",13.75%,331.5,"849,100",14.15%,269.0,"652,000",14.13%,320.1,"546,900",6.59%
Toronto W04,320.8,"822,600",16.53%,292.8,"922,100",12.44%,289.7,"837,700",15.74%,270.0,"632,100",12.17%,363.6,"536,400",20.48%
Toronto W05,284.9,"676,500",9.24%,284.5,"943,500",9.97%,260.3,"760,000",9.92%,277.6,"504,100",9.46%,315.4,"414,400",8.46%
Toronto W06,257.0,"749,400",13.57%,323.1,"1,031,700",11.88%,262.7,"796,100",11.03%,326.6,"968,400",12.62%,218.0,"546,800",12.20%
Toronto W07,270.0,"1,155,600",9.85%,286.3,"1,240,800",10.41%,250.3,"1,026,200",8.31%,240.9,"885,500",22.04%,174.9,"709,200",6.39%
Toronto W08,255.6,"1,019,100",8.26%,244.6,"1,278,600",11.33%,240.7,"891,600",9.56%,313.4,"753,800",24.27%,258.9,"539,100",4.44%
Toronto W09,283.1,"712,600",12.16%,269.6,"1,005,500",13.13%,239.0,"687,200",13.00%,319.4,"831,000",12.90%,295.1,"378,400",11.74%
Toronto W10,310.4,"704,900",13.41%,295.1,"885,300",13.07%,302.5,"774,100",13.68%,352.7,"634,900",19.52%,317.9,"441,600",12.97%
Toronto C01,325.9,"805,200",4.72%,325.1,"1,231,200",6.14%,313.4,"1,097,100",8.07%,314.3,"895,900",10.05%,326.5,"679,700",4.21%
Toronto C02,293.1,"1,410,400",7.21%,261.0,"2,085,400",8.80%,293.5,"1,539,300",6.96%,304.8,"1,532,600",7.36%,294.0,"837,600",6.60%
Toronto C03,327.9,"1,712,500",8.76%,307.3,"1,888,500",9.24%,329.6,"1,222,200",9.61%,-,-,-,359.5,"940,400",8.09%
Toronto C04,261.8,"1,629,600",8.36%,265.2,"1,868,500",7.85%,273.2,"1,279,100",12.29%,-,-,-,245.5,"656,700",9.79%
Toronto C06,297.9,"1,160,100",6.05%,279.4,"1,193,300",11.89%,228.2,"844,300",6.79%,279.7,"750,200",12.28%,317.4,"701,900",2.78%
Toronto C07,279.9,"968,300",7.04%,306.2,"1,400,800",10.06%,216.2,"773,700",8.81%,281.7,"794,000",12.14%,267.2,"652,500",4.42%
