Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,297.3,"902,500",10.56%,293.6,"1,084,700",13.27%,304.4,"855,200",13.12%,310.6,"682,400",12.82%,289.1,"579,500",4.07%
Halton Region,315.6,"1,023,600",13.48%,319.3,"1,177,700",14.81%,331.2,"847,300",15.56%,342.5,"658,600",16.22%,276.5,"563,300",8.90%
Burlington,325.9,"903,800",12.96%,331.9,"1,123,600",15.04%,349.4,"838,200",12.28%,352.2,"660,400",15.97%,283.2,"558,000",8.63%
Halton Hills,304.0,"904,500",16.88%,303.3,"986,900",16.56%,322.1,"729,800",18.51%,306.3,"523,700",20.16%,259.6,"562,000",9.44%
Milton,301.7,"893,900",14.45%,301.8,"1,079,100",16.75%,320.5,"774,600",17.23%,319.9,"550,600",18.31%,288.7,"552,600",8.53%
Oakville,315.5,"1,159,100",13.08%,322.7,"1,364,100",13.99%,335.4,"936,600",16.18%,337.8,"760,900",16.44%,261.1,"534,800",7.58%
Peel Region,296.4,"840,600",11.76%,287.7,"1,018,900",13.13%,299.8,"766,100",14.21%,302.1,"638,200",12.18%,305.6,"524,000",7.49%
Brampton,300.0,"764,700",13.81%,290.2,"855,300",13.76%,304.3,"710,700",14.79%,312.4,"561,500",14.94%,297.3,"443,800",10.23%
Caledon,264.8,"972,400",17.38%,266.9,"1,014,600",17.89%,295.5,"730,000",16.11%,-,-,-,245.9,"597,800",4.91%
Mississauga,296.2,"874,900",9.74%,288.8,"1,153,500",11.64%,292.4,"806,400",12.90%,297.9,"658,400",10.99%,307.1,"539,500",7.04%
City of Toronto,295.5,"958,200",5.95%,289.2,"1,269,000",10.09%,305.3,"1,017,600",8.88%,307.2,"732,000",10.94%,293.3,"604,100",2.55%
York Region,287.0,"970,300",11.76%,292.0,"1,112,000",12.65%,293.2,"847,300",12.73%,271.3,"704,100",11.28%,252.2,"562,700",6.91%
