Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,238.0,"$727,300",23.83%,250.5,"$936,600",26.32%,250.7,"$707,000",23.32%,226.0,"$506,600",23.23%,200.5,"$402,600",18.92%
Halton Region,253.3,"$867,900",25.71%,254.4,"$969,900",25.51%,255.2,"$678,600",26.27%,248.8,"$504,100",27.07%,-,-,-
Burlington,244.9,"$744,500",24.13%,244.4,"$873,400",23.50%,241.9,"$602,900",23.10%,249.2,"$512,000",27.01%,-,-,-
Halton Hills,238.6,"$738,600",25.58%,235.3,"$788,900",25.36%,244.7,"$613,000",26.85%,252.7,"$449,600",27.37%,-,-,-
Milton,241.0,"$723,300",25.46%,239.9,"$839,700",25.60%,249.4,"$629,500",26.60%,228.0,"$400,000",26.11%,-,-,-
Oakville,267.2,"$1,022,000",25.74%,268.2,"$1,137,100",25.33%,270.4,"$755,300",26.71%,251.6,"$599,500",26.62%,-,-,-
Peel Region,229.6,"$651,400",24.31%,235.6,"$829,500",25.12%,236.6,"$605,800",24.59%,225.7,"$485,000",25.53%,195.0,"$337,100",18.33%
Brampton,228.5,"$580,400",26.17%,228.0,"$665,000",26.25%,230.9,"$541,700",25.28%,221.8,"$407,200",29.78%,162.5,"$254,400",13.88%
Caledon,202.9,"$724,300",22.01%,203.4,"$747,400",22.16%,227.8,"$562,800",23.74%,-,-,-,-,-,-
Mississauga,232.5,"$690,100",23.02%,250.8,"$1,001,700",24.22%,244.7,"$674,900",23.96%,227.0,"$510,200",24.38%,200.3,"$352,600",18.87%
City of Toronto,227.0,"$737,400",19.92%,252.1,"$1,105,700",23.28%,250.3,"$834,200",18.63%,221.3,"$542,900",18.60%,202.2,"$416,600",19.36%
York Region,270.3,"$924,400",26.37%,281.1,"$1,095,300",29.00%,275.8,"$798,300",25.02%,218.2,"$559,700",14.12%,195.7,"$430,500",15.32%
Aurora,263.9,"$847,000",27.86%,269.3,"$1,001,000",30.10%,263.5,"$681,300",24.00%,197.1,"$500,600",17.11%,202.4,"$419,100",16.32%
East Gwillimbury,231.2,"$740,800",25.86%,232.5,"$765,000",25.34%,203.5,"$468,000",19.01%,-,-,-,-,-,-
