,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,299.6,"909,500",11.05%,298.3,"1,102,100",15.00%,308.4,"866,400",14.18%,311.6,"684,600",13.19%,286.6,"574,400",2.36%
City of Toronto,293.7,"952,400",4.78%,289.7,"1,271,200",9.82%,303.9,"1,012,900",8.30%,306.9,"731,300",10.40%,289.9,"597,100",0.76%
Toronto W01,273.2,"1,101,000",5.20%,258.9,"1,351,000",4.06%,273.2,"1,053,500",2.51%,296.5,"627,500",12.91%,276.1,"624,200",5.30%
Toronto W02,327.0,"1,162,300",8.17%,302.9,"1,281,300",6.99%,345.8,"1,059,900",8.78%,372.4,"718,300",10.31%,322.1,"691,400",7.55%
Toronto W03,327.8,"844,900",10.52%,332.9,"905,100",10.75%,325.6,"834,000",11.74%,262.7,"636,800",12.75%,313.5,"535,700",5.63%
Toronto W04,318.8,"817,400",13.82%,291.1,"916,800",9.68%,279.2,"807,400",9.15%,269.6,"631,100",10.58%,362.5,"534,800",18.31%
Toronto W05,288.3,"684,600",8.02%,284.9,"944,900",8.12%,262.0,"765,000",8.35%,287.2,"521,500",12.50%,317.2,"416,800",5.17%
Toronto W06,252.0,"734,800",9.14%,321.8,"1,027,500",11.54%,260.7,"790,000",9.13%,321.9,"954,500",10.28%,209.7,"526,000",4.48%
Toronto W07,269.1,"1,151,700",10.11%,285.5,"1,237,400",10.62%,247.0,"1,012,700",6.56%,234.9,"863,500",23.96%,169.1,"685,700",0.96%
Toronto W08,251.8,"1,003,900",6.79%,247.4,"1,293,200",12.97%,241.8,"895,700",9.66%,315.1,"757,900",21.61%,249.0,"518,500",0.77%
Toronto W09,288.8,"727,000",12.99%,277.4,"1,034,600",16.75%,245.4,"705,600",12.52%,309.8,"806,000",9.20%,301.5,"386,600",10.80%
Toronto W10,311.3,"707,000",13.45%,299.2,"897,600",13.98%,305.1,"780,700",13.25%,357.6,"643,800",20.20%,315.5,"438,200",12.28%
Toronto C01,309.1,"763,700",-3.89%,314.5,"1,191,100",2.74%,308.0,"1,078,200",5.01%,304.5,"867,900",6.21%,308.3,"641,800",-5.05%
Toronto C02,293.8,"1,413,700",3.34%,264.4,"2,112,500",7.83%,292.8,"1,535,600",5.02%,307.6,"1,546,700",7.51%,294.3,"838,400",1.10%
Toronto C03,334.8,"1,748,600",9.13%,315.2,"1,937,100",10.33%,331.3,"1,228,500",10.03%,-,-,-,367.5,"961,300",7.24%
Toronto C04,259.9,"1,617,800",6.12%,263.2,"1,854,400",4.99%,264.1,"1,236,500",4.76%,-,-,-,244.0,"652,700",8.25%
Toronto C06,292.7,"1,139,900",0.17%,280.0,"1,195,900",6.22%,243.5,"900,900",2.87%,284.0,"761,700",11.15%,306.7,"678,300",-3.49%
Toronto C07,277.0,"958,300",3.98%,305.9,"1,399,400",5.05%,219.3,"784,800",5.58%,286.2,"806,700",11.88%,260.8,"636,900",1.56%
Toronto C08,278.3,"727,800",-4.66%,301.1,"1,763,000",2.76%,310.9,"1,483,200",8.14%,301.1,"778,700",4.33%,274.9,"594,200",-5.89%
Toronto C09,200.0,"1,423,000",-0.40%,151.1,"1,898,100",2.16%,163.9,"1,333,700",0.06%,279.4,"1,650,100",1.56%,229.5,"760,300",-1.08%
Toronto C10,294.0,"1,162,100",1.62%,277.1,"1,710,800",4.72%,269.4,"1,331,000",7.29%,279.0,"935,200",6.08%,303.0,"723,600",-0.16%
Toronto C11,297.4,"1,053,000",4.57%,227.3,"1,548,400",2.85%,262.7,"1,218,900",2.94%,270.3,"468,300",21.59%,351.6,"510,500",5.55%
Toronto C12,236.3,"2,016,100",6.11%,211.1,"2,262,500",3.23%,288.1,"1,205,800",10.64%,224.2,"897,000",12.10%,295.3,"925,900",5.09%
Toronto C13,276.5,"1,004,600",4.73%,269.4,"1,436,700",7.67%,247.5,"789,700",9.18%,272.0,"786,300",14.43%,283.4,"579,000",1.25%
Toronto C14,279.3,"913,400",0.90%,282.6,"1,528,700",7.33%,222.4,"1,083,000",5.10%,312.5,"841,600",3.03%,275.3,"693,300",-0.69%
Toronto C15,267.6,"868,400",5.69%,301.0,"1,413,300",4.15%,248.3,"807,300",4.55%,304.1,"727,900",13.13%,251.0,"583,600",4.11%
Toronto E01,374.9,"1,167,500",4.69%,371.3,"1,310,200",7.56%,379.1,"1,195,800",6.10%,425.1,"777,500",3.46%,347.0,"760,100",-0.57%
Toronto E02,314.9,"1,179,300",5.11%,278.7,"1,269,700",7.86%,341.2,"1,142,600",8.08%,336.4,"968,900",1.48%,266.4,"728,300",-6.62%
Toronto E03,299.8,"922,200",5.49%,306.9,"1,034,700",6.34%,284.1,"930,400",4.99%,-,-,-,288.7,"421,900",2.30%
Toronto E04,317.0,"783,400",10.80%,292.9,"863,500",11.75%,311.6,"750,900",13.76%,282.0,"611,300",6.25%,375.0,"577,500",11.97%
Toronto E05,287.3,"753,800",11.27%,291.0,"1,024,800",10.56%,283.5,"781,200",11.92%,295.3,"642,200",11.56%,280.0,"550,000",11.38%
Toronto E06,305.1,"850,800",10.42%,316.5,"904,100",15.17%,321.7,"765,100",18.06%,-,-,-,248.7,"525,900",-10.60%
Toronto E07,301.7,"739,500",6.91%,303.2,"993,800",9.06%,294.9,"771,100",10.33%,302.2,"654,700",9.81%,301.9,"517,000",4.83%
Toronto E08,315.0,"760,100",11.58%,297.8,"928,200",13.40%,267.0,"692,200",14.64%,327.1,"667,600",13.89%,344.7,"549,900",8.23%
Toronto E09,299.8,"716,800",9.18%,294.9,"837,300",12.13%,290.9,"711,500",13.99%,330.7,"614,600",10.49%,301.2,"565,000",6.39%
Toronto E10,308.0,"863,200",13.61%,290.5,"930,800",13.83%,291.7,"756,400",17.01%,371.8,"649,100",14.65%,299.4,"483,000",9.15%
Toronto E11,322.0,"704,300",14.75%,318.0,"884,500",13.86%,325.2,"736,600",15.28%,257.2,"504,800",13.96%,381.1,"568,800",18.02%
