,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,345.1,"1,054,300",18.06%,348.1,"1,302,300",22.61%,359.9,"1,013,800",21.59%,346.5,"745,900",17.18%,322.9,"639,400",8.14%
City of Toronto,334.4,"1,102,600",10.14%,339.3,"1,533,100",14.67%,360.5,"1,217,900",13.76%,335.9,"796,800",11.71%,323.3,"659,600",6.45%
Toronto W01,325.7,"1,390,300",11.43%,347.2,"1,933,900",13.72%,363.8,"1,446,000",11.87%,280.9,"845,200",5.64%,312.5,"706,500",10.62%
Toronto W02,381.7,"1,359,900",10.13%,360.1,"1,574,000",9.62%,410.0,"1,219,200",9.51%,407.3,"793,100",9.87%,362.9,"779,000",10.17%
Toronto W03,377.4,"973,100",14.05%,384.4,"1,040,400",14.71%,389.7,"998,300",13.68%,289.4,"709,600",8.72%,357.0,"610,000",12.44%
Toronto W04,355.1,"911,400",11.32%,333.0,"1,053,800",13.89%,334.6,"951,000",11.79%,302.8,"697,000",7.49%,392.4,"578,900",10.16%
Toronto W05,318.3,"756,100",12.75%,319.5,"1,071,400",12.58%,304.6,"884,800",13.53%,317.4,"576,400",16.95%,336.3,"444,300",9.83%
Toronto W06,289.0,"846,400",11.58%,377.3,"1,192,300",15.84%,343.9,"1,158,100",18.34%,350.6,"1,039,600",8.51%,236.9,"594,200",8.27%
Toronto W07,308.4,"1,363,700",14.01%,328.7,"1,507,400",14.85%,322.7,"1,341,500",17.73%,245.5,"902,500",4.91%,182.1,"738,400",5.69%
Toronto W08,294.0,"1,246,200",11.83%,303.7,"1,702,800",16.54%,329.4,"1,238,700",17.39%,337.0,"810,500",11.89%,279.3,"581,600",7.75%
Toronto W09,318.6,"831,300",16.83%,324.3,"1,257,600",18.06%,345.8,"953,900",22.19%,258.0,"716,500",5.22%,324.5,"427,500",16.73%
Toronto W10,354.5,"809,800",13.01%,329.4,"988,200",12.62%,340.8,"872,100",13.90%,398.4,"717,200",15.81%,371.0,"528,500",12.83%
Toronto C01,349.3,"876,400",4.93%,423.9,"1,660,800",11.99%,419.8,"1,534,000",11.98%,345.7,"985,400",11.41%,342.1,"712,200",3.67%
Toronto C02,322.7,"1,625,800",8.76%,315.8,"2,665,500",14.05%,335.5,"1,880,300",14.47%,324.4,"1,631,200",4.71%,314.6,"896,300",5.68%
Toronto C03,374.4,"2,169,500",11.40%,358.3,"2,429,100",13.75%,373.3,"1,440,400",14.47%,-,-,-,396.0,"1,035,900",7.14%
Toronto C04,301.3,"1,943,200",11.47%,311.1,"2,277,300",11.99%,310.7,"1,453,000",17.02%,-,-,-,262.1,"701,100",5.60%
Toronto C06,326.3,"1,314,700",10.50%,321.5,"1,431,400",10.03%,308.2,"1,136,100",13.98%,305.1,"818,300",8.11%,332.1,"714,300",11.11%
