,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,342.3,"1,045,800",18.81%,344.7,"1,289,600",25.07%,356.3,"1,003,700",23.37%,342.9,"738,100",19.60%,322.6,"638,900",6.61%
Halton Region,366.2,"1,127,900",25.80%,367.5,"1,341,100",28.95%,377.7,"956,000",28.47%,372.0,"716,700",23.63%,346.2,"655,100",14.26%
Burlington,378.8,"1,092,900",26.65%,387.0,"1,332,000",31.63%,409.0,"997,100",31.72%,377.7,"705,800",24.65%,353.0,"582,700",14.35%
Halton Hills,359.0,"1,058,900",27.44%,350.4,"1,142,900",27.70%,370.2,"824,900",29.17%,389.8,"620,600",26.44%,346.2,"528,600",14.86%
Milton,353.2,"1,075,100",27.65%,354.6,"1,306,100",29.51%,365.0,"879,900",28.12%,359.0,"615,800",23.24%,327.8,"674,400",14.30%
Oakville,362.7,"1,224,800",23.58%,362.6,"1,470,300",26.56%,376.6,"1,049,800",27.19%,363.2,"824,800",22.04%,343.2,"685,600",13.91%
Peel Region,338.1,"958,200",18.80%,334.4,"1,184,300",23.08%,345.7,"883,400",22.85%,339.8,"718,500",18.36%,332.3,"568,200",6.81%
Brampton,343.1,"873,900",21.75%,335.4,"988,200",22.63%,349.4,"816,000",22.94%,348.3,"629,800",22.38%,322.5,"475,600",9.96%
Caledon,318.2,"1,162,800",34.94%,321.2,"1,221,000",36.04%,354.8,"876,500",31.46%,300.0,"649,400",23.66%,-,-,-
Mississauga,335.5,"990,500",15.13%,336.0,"1,342,000",21.52%,337.8,"931,600",21.55%,336.7,"744,200",16.71%,334.3,"586,900",6.26%
City of Toronto,335.4,"1,105,900",10.66%,342.7,"1,548,400",18.91%,362.3,"1,224,000",16.87%,330.5,"783,900",12.45%,323.7,"660,400",4.69%
York Region,335.9,"1,144,400",20.74%,345.2,"1,334,600",22.50%,341.8,"987,900",21.94%,309.1,"799,900",26.01%,288.2,"625,700",11.53%
Aurora,332.6,"1,100,100",23.97%,334.5,"1,256,800",23.84%,347.9,"897,100",22.89%,307.2,"832,200",38.01%,290.6,"623,500",14.01%
East Gwillimbury,326.2,"1,116,200",35.52%,327.0,"1,166,700",33.74%,353.9,"740,300",37.81%,-,-,-,-,-,-
Georgina,353.8,"686,500",37.61%,360.9,"696,200",37.22%,357.8,"705,300",38.04%,-,-,-,-,-,-
King,338.2,"1,574,100",22.45%,343.1,"1,608,000",22.89%,325.6,"998,600",24.99%,-,-,-,271.8,"671,900",13.68%
Markham,339.3,"1,192,700",18.47%,359.9,"1,506,800",19.53%,351.1,"1,045,200",20.78%,294.8,"795,600",25.02%,292.5,"673,700",11.13%
Newmarket,315.9,"930,300",24.81%,317.4,"1,069,800",25.06%,317.8,"748,500",25.56%,337.8,"699,100",32.06%,290.7,"497,500",14.49%
Richmond Hill,347.7,"1,249,300",17.90%,371.3,"1,586,000",18.32%,342.2,"1,040,400",21.30%,290.2,"735,700",17.16%,296.3,"599,500",13.09%
Vaughan,324.9,"1,185,900",17.59%,323.3,"1,373,600",18.47%,335.0,"1,017,100",20.20%,322.2,"891,000",20.04%,277.0,"639,700",10.45%
