,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,337.7,"1,025,200",17.83%,340.9,"1,259,500",24.51%,352.0,"988,900",22.99%,345.7,"759,500",17.55%,313.1,"627,600",4.26%
City of Toronto,325.7,"1,056,100",9.11%,329.7,"1,446,700",18.47%,346.3,"1,154,300",17.15%,327.6,"780,600",11.28%,316.4,"651,700",2.49%
Toronto W01,304.6,"1,227,500",11.33%,298.2,"1,556,100",15.40%,324.5,"1,251,300",15.69%,300.1,"635,200",8.42%,302.9,"684,800",9.07%
Toronto W02,365.2,"1,298,100",14.30%,348.1,"1,472,500",15.84%,393.7,"1,206,800",17.59%,393.1,"758,300",10.33%,349.2,"749,600",9.26%
Toronto W03,372.8,"960,900",17.79%,381.0,"1,035,800",18.43%,374.1,"958,200",20.17%,272.1,"659,500",8.49%,345.1,"589,600",10.89%
Toronto W04,338.4,"867,700",11.35%,326.5,"1,028,300",16.69%,316.2,"914,400",17.81%,279.6,"654,500",9.35%,364.6,"537,900",6.05%
Toronto W05,320.0,"759,900",15.94%,323.9,"1,074,200",17.19%,297.3,"868,100",17.56%,298.4,"541,900",15.12%,356.0,"467,800",15.28%
Toronto W06,281.5,"820,800",11.53%,369.0,"1,178,200",20.55%,300.2,"909,700",17.13%,335.5,"994,800",7.39%,234.4,"588,000",5.49%
Toronto W07,304.5,"1,303,300",16.98%,327.5,"1,419,400",19.26%,285.9,"1,172,200",15.10%,248.7,"914,200",11.88%,186.5,"756,300",4.19%
Toronto W08,280.2,"1,117,100",12.21%,280.5,"1,466,200",22.17%,280.1,"1,037,600",17.99%,324.4,"780,200",14.02%,275.4,"573,500",5.07%
Toronto W09,310.5,"781,600",13.11%,311.9,"1,163,200",21.93%,275.3,"791,500",26.00%,327.1,"851,100",8.13%,306.7,"393,300",4.25%
Toronto W10,344.3,"781,900",13.67%,336.0,"1,008,000",18.85%,338.6,"866,500",16.36%,400.1,"720,300",23.68%,343.4,"477,000",7.89%
Toronto C01,342.1,"845,200",0.47%,358.9,"1,359,200",9.62%,349.4,"1,223,100",10.19%,330.9,"943,200",9.06%,340.7,"709,300",-0.76%
Toronto C02,317.2,"1,526,300",10.95%,292.8,"2,339,500",16.05%,326.8,"1,714,000",16.59%,308.6,"1,551,700",1.41%,313.1,"892,000",7.85%
Toronto C03,371.4,"1,939,700",14.84%,353.0,"2,169,400",17.28%,381.7,"1,415,400",19.73%,-,-,-,390.8,"1,022,300",8.40%
Toronto C04,284.9,"1,773,400",11.33%,291.7,"2,055,200",12.84%,307.4,"1,439,200",14.45%,-,-,-,248.9,"665,800",3.28%
Toronto C06,331.0,"1,289,000",8.52%,320.3,"1,368,000",17.15%,267.5,"989,700",11.50%,294.4,"789,600",11.52%,345.4,"763,900",3.23%
Toronto C07,305.9,"1,058,300",6.96%,343.1,"1,569,600",14.06%,247.5,"885,700",15.71%,296.0,"834,300",11.82%,287.0,"700,800",1.66%
Toronto C08,305.9,"799,900",-3.17%,326.1,"1,909,400",8.34%,343.2,"1,637,200",17.17%,329.4,"851,900",9.04%,302.5,"653,900",-4.81%
Toronto C09,221.8,"1,578,100",11.01%,176.3,"2,214,700",18.32%,187.3,"1,524,100",15.90%,300.5,"1,774,800",7.40%,246.5,"816,700",8.35%
