,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,331.9,"1,007,600",16.54%,337.5,"1,246,900",23.58%,348.3,"978,500",21.91%,338.1,"742,800",16.51%,303.1,"607,500",2.09%
Halton Region,360.9,"1,170,500",22.21%,370.6,"1,366,900",25.33%,382.7,"979,100",25.60%,387.6,"745,300",22.62%,294.0,"599,000",12.13%
Burlington,373.4,"1,035,600",21.08%,389.4,"1,318,300",25.78%,409.4,"982,200",24.59%,399.2,"748,600",22.27%,300.9,"592,900",11.03%
Halton Hills,352.2,"1,047,900",27.38%,353.1,"1,149,000",27.93%,372.1,"843,100",27.87%,345.9,"591,400",25.87%,274.5,"594,300",11.31%
Milton,346.0,"1,025,100",22.61%,349.4,"1,249,300",25.86%,368.1,"889,600",25.25%,362.5,"623,900",24.14%,306.6,"586,900",10.61%
Oakville,358.1,"1,315,600",21.64%,370.3,"1,565,300",23.43%,386.3,"1,078,700",25.71%,382.0,"860,500",24.35%,277.7,"568,800",12.11%
Peel Region,332.9,"944,200",16.77%,330.8,"1,171,500",20.64%,344.7,"880,800",21.25%,329.1,"695,200",15.84%,319.7,"548,200",4.92%
Brampton,342.3,"872,500",19.94%,334.7,"986,400",20.87%,351.2,"820,200",21.69%,334.7,"601,600",16.62%,311.1,"464,400",9.62%
Caledon,305.1,"1,120,400",28.63%,308.2,"1,171,600",29.71%,340.4,"840,900",25.61%,-,-,-,259.7,"631,400",4.59%
Mississauga,327.0,"965,800",13.19%,330.2,"1,318,900",18.82%,333.3,"919,200",19.72%,326.7,"722,100",15.48%,321.3,"564,400",4.18%
City of Toronto,317.4,"1,029,200",7.45%,325.0,"1,426,100",17.84%,339.8,"1,132,600",15.74%,317.4,"756,300",9.71%,306.0,"630,300",0.13%
York Region,324.1,"1,095,700",19.82%,334.4,"1,273,400",23.49%,337.2,"974,400",22.48%,294.0,"763,000",14.75%,268.7,"599,500",6.00%
Aurora,320.6,"1,058,000",20.03%,324.4,"1,218,800",22.46%,338.5,"872,900",22.16%,303.9,"831,700",16.88%,254.4,"583,300",6.13%
East Gwillimbury,317.7,"1,085,500",38.13%,320.6,"1,142,600",37.18%,336.9,"704,700",36.45%,-,-,-,-,-,-
Georgina,340.5,"648,100",37.69%,348.4,"656,200",37.71%,331.3,"653,000",30.95%,-,-,-,-,-,-
King,294.0,"1,230,100",30.26%,296.0,"1,231,400",31.56%,295.6,"692,300",28.80%,-,-,-,265.0,"724,800",5.92%
Markham,329.4,"1,144,800",16.81%,354.8,"1,463,500",20.35%,345.6,"1,030,700",21.35%,287.8,"768,500",15.12%,271.4,"649,100",4.99%
Newmarket,306.3,"903,300",24.92%,311.4,"1,049,600",26.84%,314.1,"739,800",29.26%,281.3,"584,100",15.52%,278.4,"496,300",6.10%
Richmond Hill,334.6,"1,204,100",18.74%,362.4,"1,540,100",21.24%,345.0,"1,048,600",24.86%,277.2,"702,800",14.31%,272.7,"571,100",8.26%
Vaughan,314.5,"1,137,200",15.88%,309.4,"1,286,100",18.32%,330.6,"1,001,400",19.09%,322.5,"911,100",11.90%,263.1,"607,100",5.49%
Whitchurch-Stouffville,341.1,"1,188,800",21.65%,344.1,"1,269,300",23.33%,349.7,"872,500",20.79%,279.2,"501,200",16.33%,252.7,"652,200",7.12%
Durham Region,348.4,"812,500",32.83%,338.4,"878,800",33.02%,364.6,"728,100",34.59%,387.3,"602,500",33.05%,318.1,"539,800",20.04%
Ajax,344.4,"848,700",28.70%,339.7,"911,300",29.26%,358.2,"773,000",31.40%,355.4,"653,200",23.40%,303.7,"492,300",18.63%
Brock,305.4,"528,800",37.07%,307.5,"532,800",37.15%,341.4,"585,200",39.57%,-,-,-,-,-,-
Clarington,346.9,"732,400",36.20%,334.5,"805,600",36.14%,348.3,"665,400",37.72%,398.9,"624,900",36.05%,292.8,"433,600",21.65%
Oshawa,370.7,"706,900",36.84%,352.2,"751,600",35.67%,402.1,"673,000",38.04%,432.7,"538,900",45.01%,318.0,"440,900",22.87%
Pickering,340.4,"909,000",26.68%,326.5,"1,017,100",27.99%,351.5,"820,200",29.51%,367.6,"629,400",24.15%,362.3,"675,900",19.45%
Scugog,299.0,"767,300",28.60%,309.0,"786,100",28.80%,293.5,"614,300",32.15%,-,-,-,-,-,-
Uxbridge,302.3,"948,800",30.02%,306.6,"982,700",30.08%,316.8,"771,300",27.54%,-,-,-,-,-,-
Whitby,343.7,"892,600",32.09%,343.1,"986,800",33.09%,357.6,"787,800",34.49%,325.2,"546,400",25.17%,285.6,"517,400",19.30%
Dufferin County,373.3,"855,600",32.28%,387.9,"884,000",31.63%,374.4,"701,600",34.43%,-,-,-,-,-,-
Orangeville,373.3,"855,700",32.28%,387.9,"884,000",31.63%,374.4,"701,600",34.43%,-,-,-,-,-,-
