,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,354.3,"1,082,400",19.09%,360.6,"1,349,000",23.54%,372.1,"1,048,200",22.60%,354.1,"762,200",18.15%,324.4,"642,400",9.08%
City of Toronto,336.2,"1,108,500",10.37%,343.3,"1,551,200",14.28%,360.7,"1,218,600",12.30%,339.6,"805,500",12.26%,324.0,"661,100",7.36%
Toronto W01,314.6,"1,342,900",7.26%,325.3,"1,811,900",7.36%,340.8,"1,354,600",6.80%,289.4,"870,700",7.15%,306.0,"691,800",7.07%
Toronto W02,375.9,"1,339,300",9.02%,354.1,"1,547,800",7.92%,397.9,"1,183,200",7.77%,405.8,"790,200",10.51%,362.0,"777,100",10.50%
Toronto W03,377.1,"972,300",12.33%,386.0,"1,044,700",13.66%,384.4,"984,700",10.78%,294.1,"721,100",7.10%,355.2,"606,900",10.97%
Toronto W04,352.7,"905,200",8.76%,337.3,"1,067,400",13.88%,329.1,"935,300",8.01%,305.3,"702,800",6.64%,380.6,"561,500",4.68%
Toronto W05,325.4,"773,000",13.82%,331.7,"1,112,300",15.74%,318.2,"924,300",17.11%,322.0,"584,700",15.99%,332.6,"439,400",7.67%
Toronto W06,291.4,"853,500",11.35%,384.4,"1,214,700",15.78%,355.5,"1,197,100",19.18%,359.5,"1,066,000",10.07%,235.0,"589,500",7.80%
Toronto W07,315.0,"1,392,900",14.96%,336.7,"1,544,100",16.34%,336.9,"1,400,500",19.68%,261.7,"962,000",8.63%,181.6,"736,400",3.83%
Toronto W08,293.7,"1,244,900",10.54%,305.7,"1,714,000",15.01%,338.6,"1,273,300",17.81%,343.4,"825,900",9.57%,276.1,"574,900",6.64%
Toronto W09,317.8,"829,200",13.42%,328.9,"1,275,500",17.67%,347.2,"957,700",19.39%,263.3,"731,300",5.91%,317.1,"417,800",9.50%
Toronto W10,364.7,"833,100",14.40%,345.0,"1,035,000",16.91%,347.3,"888,700",14.81%,413.1,"743,700",17.13%,375.8,"535,400",11.98%
Toronto C01,351.6,"882,100",6.45%,409.0,"1,602,400",7.77%,403.1,"1,473,000",7.26%,336.3,"958,600",7.00%,347.0,"722,400",6.28%
Toronto C02,317.2,"1,598,100",7.49%,304.9,"2,573,500",10.63%,322.3,"1,806,300",8.70%,312.5,"1,571,400",2.53%,313.6,"893,400",6.67%
Toronto C03,370.4,"2,146,300",12.11%,352.3,"2,388,400",12.81%,362.5,"1,398,800",10.86%,-,-,-,400.1,"1,046,600",11.29%
Toronto C04,301.5,"1,944,500",10.68%,309.8,"2,267,800",10.80%,315.9,"1,477,300",12.74%,-,-,-,263.4,"704,600",7.29%
Toronto C06,327.9,"1,321,200",13.85%,330.3,"1,470,600",13.27%,321.9,"1,186,600",18.00%,302.7,"811,800",8.22%,326.8,"702,900",14.35%
Toronto C07,335.5,"1,146,700",10.58%,361.7,"1,722,000",10.27%,297.1,"1,120,400",15.56%,305.0,"859,700",8.27%,325.7,"678,700",10.41%
Toronto C08,306.7,"796,400",5.03%,334.6,"1,959,200",5.45%,345.4,"1,647,700",9.13%,334.7,"865,600",9.49%,303.2,"649,500",4.77%
Toronto C09,254.1,"1,822,900",3.50%,267.8,"3,452,700",11.86%,275.6,"2,608,600",11.58%,289.1,"1,707,400",2.26%,235.3,"779,500",-2.73%
Toronto C10,316.4,"1,250,600",7.04%,305.2,"1,884,300",10.10%,300.3,"1,483,600",12.68%,288.7,"967,700",4.22%,323.8,"773,200",5.96%
Toronto C11,362.9,"1,316,500",8.07%,328.1,"2,362,300",9.59%,353.4,"1,638,700",7.88%,315.1,"545,900",20.77%,382.9,"556,000",6.45%
Toronto C12,287.3,"2,482,000",12.71%,285.0,"3,090,100",16.18%,346.4,"1,424,200",15.24%,248.9,"995,800",13.76%,314.3,"985,400",5.43%
Toronto C13,327.1,"1,224,900",12.83%,335.9,"1,870,000",17.00%,322.9,"1,007,000",23.53%,298.8,"863,800",11.58%,319.6,"652,900",8.45%
Toronto C14,320.1,"1,086,600",7.63%,369.4,"2,222,200",12.79%,289.8,"1,496,300",17.47%,353.6,"952,200",10.50%,304.3,"766,300",5.37%
