Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,150.1,"$457,900 ",5.70%,149.7,"$556,700 ",7.01%,154.6,"$436,700 ",7.06%,146.4,"$320,700 ",4.50%,146.1,"$293,400 ",1.67%
Halton Region,156.7,"$514,000 ",4.96%,155,"$574,800 ",5.80%,157,"$407,500 ",3.97%,151.6,"$300,100 ",4.41%,-,-,-
Burlington,164.5,"$474,100 ",4.25%,163.9,"$560,200 ",4.33%,161.2,"$384,200 ",1.90%,159.2,"$319,700 ",4.81%,-,-,-
Halton Hills,148.7,"$433,000 ",3.84%,149,"$476,700 ",4.41%,154.1,"$379,500 ",4.55%,147.5,"$265,900 ",4.68%,-,-,-
Milton,149.5,"$419,300 ",3.96%,142,"$494,700 ",2.53%,152,"$379,500 ",4.18%,-,-,-,-,-,-
Oakville,162.8,"$600,600 ",5.65%,161.9,"$671,000 ",7.57%,164.2,"$444,400 ",3.60%,150.9,"$333,300 ",3.64%,-,-,-
Peel Region,145.6,"$398,300 ",5.28%,147.1,"$497,900 ",5.90%,148.2,"$378,200 ",5.86%,149,"$308,300 ",5.90%,133.5,"$229,700 ",2.53%
Brampton,140.3,"$357,900 ",5.89%,142.1,"$415,300 ",6.68%,142.4,"$335,400 ",5.48%,133.8,"$248,600 ",6.78%,115.9,"$181,400 ",2.84%
Caledon,140,"$498,800 ",0.94%,141,"$517,600 ",2.10%,149.6,"$369,900 ",5.80%,-,-,-,-,-,-
Mississauga,150.1,"$419,600 ",5.41%,153.9,"$573,400 ",5.63%,154.6,"$422,500 ",6.40%,153.6,"$329,900 ",5.86%,136.3,"$238,700 ",2.71%
City of Toronto,154,"$504,700 ",5.12%,155.5,"$674,100 ",7.76%,163.1,"$540,900 ",8.44%,149.9,"$362,500 ",3.17%,149.3,"$308,300 ",1.56%
