Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,150.9,"$460,300",7.10%,150.6,"$560,000",8.42%,155.1,"$438,200",8.16%,148.1,"$324,400",7.01%,147.0,"$295,200",3.23%
Halton Region,156.7,"$514,000",6.74%,154.2,"$571,800",6.79%,157.0,"$407,500",6.30%,158.4,"$313,500",9.54%,-,-,-
Burlington,164.5,"$474,100",6.54%,162.1,"$554,000",5.60%,160.8,"$383,300",3.68%,166.1,"$333,600",9.49%,-,-,-
Halton Hills,150.8,"$439,100",7.25%,150.5,"$481,500",7.58%,155.0,"$381,700",7.71%,154.7,"$278,900",10.42%,-,-,-
Milton,150.1,"$421,000",7.21%,142.5,"$496,400",5.40%,152.5,"$380,700",7.24%,-,-,-,-,-,-
Oakville,161.9,"$597,300",5.96%,160.0,"$663,100",7.10%,163.4,"$442,300",4.81%,157.4,"$347,700",8.25%,-,-,-
Peel Region,146.1,"$399,600",6.56%,147.1,"$497,900",6.52%,148.4,"$378,700",6.76%,150.0,"$310,400",7.99%,135.2,"$232,700",4.73%
Brampton,139.7,"$356,400",6.32%,141.5,"$413,500",7.28%,142.1,"$334,700",6.12%,131.8,"$244,800",5.10%,115.9,"$181,400",3.21%
Caledon,141.5,"$504,200",3.89%,142.9,"$524,500",4.46%,149.3,"$369,100",6.64%,-,-,-,-,-,-
Mississauga,151.2,"$422,600",7.01%,154.6,"$576,000",6.33%,155.2,"$424,100",7.55%,155.4,"$333,700",8.82%,138.2,"$242,000",5.02%
City of Toronto,155.5,"$509,600",6.87%,158.0,"$685,000",10.03%,163.9,"$543,500",9.49%,153.1,"$370,300",6.99%,149.8,"$309,300",2.81%
York Region,157.9,"$541,800",8.45%,158.3,"$621,900",9.40%,160.4,"$464,700",8.97%,148.1,"$377,500",7.87%,148.6,"$322,800",3.55%
Aurora,148.7,"$478,800",9.90%,146.6,"$544,600",12.17%,152.7,"$395,200",9.62%,136.6,"$346,000",9.81%,143.4,"$298,000",4.22%
E. Gwillimbury,135.8,"$439,000",6.85%,135.9,"$446,400",6.25%,143.9,"$304,700",5.58%,-,-,-,-,-,-
Georgina,140.2,"$291,000",13.52%,144.2,"$297,100",14.17%,140.3,"$276,500",9.70%,-,-,-,-,-,-
