Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,149.0,"$454,500 ",4.12%,148.6,"$552,600 ",5.02%,153.4,"$433,400 ",5.43%,147.4,"$322,800 ",5.59%,144.9,"$291,000 ",0.91%,2012,12
Halton Region,156.0,"$511,700 ",5.12%,154.4,"$572,600 ",4.68%,156,"$404,900 ",5.19%,150.4,"$297,700 ",1.97%,-,-,-,2012,12
Burlington,162.0,"$466,900 ",3.98%,161.7,"$552,700 ",4.39%,155.8,"$371,400 ",3.66%,158.4,"$318,100 ",0.32%,-,-,-,2012,12
Halton Hills,146.7,"$427,100 ",4.19%,146.6,"$469,000 ",3.24%,152.5,"$375,600 ",5.03%,146.6,"$264,300 ",1.52%,-,-,-,2012,12
Milton,148.0,"$415,100 ",5.11%,139.9,"$487,300 ",3.32%,150.6,"$376,000 ",5.46%,-,-,-,-,-,-,2012,12
Oakville,163.6,"$603,500 ",5.21%,163.1,"$676,000 ",5.43%,165.5,"$448,000 ",5.08%,149.3,"$329,800 ",2.54%,-,-,-,2012,12
Peel Region,145.2,"$397,200 ",4.46%,146.2,"$494,900 ",5.10%,147.2,"$375,600 ",4.62%,150,"$310,400 ",6.08%,133.7,"$230,100 ",2.69%,2012,12
Brampton,139.2,"$355,100 ",3.57%,140.4,"$410,300 ",4.70%,141.1,"$332,400 ",3.29%,135.3,"$251,300 ",5.13%,117.4,"$183,700 ",0.95%,2012,12
Caledon,141.8,"$505,200 ",4.57%,142.6,"$523,400 ",4.93%,151,"$373,300 ",9.82%,-,-,-,-,-,-,2012,12
Mississauga,150.0,"$419,300 ",5.19%,153.7,"$572,700 ",5.78%,153.7,"$420,000 ",5.85%,154.4,"$331,600 ",6.41%,136.3,"$238,700 ",3.10%,2012,12
City of Toronto,152.6,"$500,100 ",3.53%,153.9,"$667,200 ",4.91%,161.2,"$534,600 ",5.91%,152.1,"$367,800 ",6.59%,147.8,"$305,200 ",0.75%,2012,12
York Region,155.8,"$534,600 ",4.28%,156.7,"$615,600 ",5.03%,158.6,"$459,500 ",5.59%,146.4,"$373,200 ",4.13%,143.7,"$312,200 ",-1.24%,2012,12
Aurora,151.3,"$487,200 ",9.48%,149.5,"$555,400 ",8.57%,154.5,"$399,900 ",6.99%,138.7,"$351,300 ",8.70%,141.7,"$294,400 ",0.71%,2012,12
E. Gwillimbury,139.0,"$449,400 ",9.02%,138.4,"$454,600 ",7.12%,149.3,"$316,100 ",3.39%,-,-,-,-,-,-,2012,12
Georgina,136.4,"$283,100 ",1.87%,140.6,"$289,600 ",3.76%,141.7,"$279,300 ",3.81%,-,-,-,-,-,-,2012,12
King,155.4,"$658,800 ",10.45%,156.6,"$660,800 ",10.67%,-,-,-,-,-,-,-,-,-,2012,12
