"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment,
"",Index,Benchmark,Yr./Yr. % Chg.,Index Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,190.4,"$581,100",11.28%,"195.9 $728,900 12.98%",199.9,"$565,100 11.99%",183.7,"$401,600 10.13%",165.9,"$333,500",5.87%
Halton Region,206.6,"$675,800",15.48%,"204.6 $759,100 15.66%",204.1,"$529,600 14.09%",186.2,"$367,600 9.66%",-,-,-
Burlington,202.9,"$601,200",11.12%,"203.2 $715,900 12.08%",205.6,"$490,200 11.92%",185.1,"$369,600 6.20%",-,-,-
Halton Hills,184.5,"$537,300",12.43%,"183.1 $585,700 12.26%",198.0,"$487,700 14.25%",170.7,"$307,800 7.16%",-,-,-
Milton,210.4,"$580,500",24.06%,"205.1 $709,900 28.19%",198.5,"$495,700 15.01%",173.6,"$318,200 8.36%",-,-,-
Oakville,211.2,"$778,900",12.70%,"210.5 $872,500 12.75%",212.3,"$574,700 12.87%",194.3,"$429,000 12.64%",-,-,-
Peel Region,180.8,"$494,800",11.19%,"182.8 $619,500 11.33%",187.1,"$477,300 12.51%",184.4,"$381,500 9.57%",157.9,"$272,100",10.96%
Brampton,176.1,"$449,400",12.45%,"176.5 $516,300 12.85%",180.7,"$425,700 13.93%",170.2,"$316,100 10.09%",139.5,"$218,300",7.39%
Caledon,165.1,"$589,200",9.85%,"161.8 $595,300 7.58%",186.4,"$460,800 12.70%",-,- -,-,-,-
Mississauga,185.9,"$520,100",10.39%,"194.3 $725,300 10.40%",194.8,"$532,200 11.00%",189.2,"$406,400 9.49%",161.3,"$282,900",11.55%
City of Toronto,188.2,"$617,100",8.35%,"202.1 $876,300 11.29%",204.7,"$680,200 8.83%",188.1,"$454,600 10.06%",167.6,"$346,300",4.88%
York Region,212.2,"$728,700",14.52%,"215.2 $846,200 15.20%",217.1,"$629,200 14.20%",188.5,"$479,400 13.08%",166.6,"$361,400",7.48%
Aurora,207.2,"$667,000",19.08%,"204.7 $760,500 17.71%",208.6,"$539,400 16.15%",165.3,"$418,700 16.33%",168.5,"$348,500",9.92%
East Gwillimbury,179.2,"$580,800",13.27%,"184.9 $609,400 16.80%",188.7,"$399,500 9.77%",-,- -,-,-,-
