"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment,
"",Index,Benchmark,Yr./Yr. % Chg.,Index Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,219.3,"$669,300",17.97%,"229.9 $855,500 20.75%",232.4,"$657,000 19.42%",210.7,"$460,600 16.86%",182.2,"$366,200",10.76%
Halton Region,232.8,"$761,500",20.56%,"230.1 $853,800 20.85%",237.1,"$615,100 22.03%",213.7,"$421,800 18.85%",-,-,-
Burlington,232.7,"$689,200",17.29%,"228.6 $804,800 15.92%",230.7,"$550,200 13.81%",215.7,"$430,700 18.45%",-,-,-
Halton Hills,211.1,"$614,600",20.97%,"214.7 $686,900 23.68%",233.4,"$574,800 25.01%",198.9,"$358,600 19.03%",-,-,-
Milton,225.4,"$622,400",23.03%,"213.2 $739,300 24.61%",235.2,"$587,100 25.44%",202.3,"$370,900 19.07%",-,-,-
Oakville,242.7,"$895,000",20.09%,"241.9 $1,002,600 20.29%",243.3,"$658,500 19.50%",218.3,"$482,100 18.71%",-,-,-
Peel Region,209.7,"$573,900",18.68%,"214.4 $726,600 19.38%",218.7,"$557,900 19.77%",211.6,"$437,800 17.04%",170.6,"$293,900",14.50%
Brampton,208.6,"$532,300",20.93%,"207.7 $607,500 20.13%",212.4,"$500,400 21.09%",201.7,"$374,600 23.06%",159.6,"$249,800",16.50%
Caledon,192.6,"$687,400",19.33%,"192.4 $707,800 19.35%",215.6,"$533,000 22.15%",-,- -,-,-,-
Mississauga,212.1,"$593,500",16.99%,"227.1 $847,800 18.90%",227.0,"$620,200 18.48%",215.0,"$461,800 15.34%",172.5,"$302,600",14.09%
City of Toronto,210.7,"$690,900",13.77%,"230.6 $999,900 17.29%",229.2,"$761,600 14.89%",213.2,"$515,300 15.87%",184.1,"$380,400",9.98%
York Region,254.6,"$874,300",23.23%,"262.3 $1,031,400 25.68%",260.8,"$755,800 22.90%",216.8,"$551,300 15.87%",184.1,"$399,300",10.70%
