"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment
"",Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.
TREB Total,149.8,"$457,000 5.05%",149.3,"$555,200 6.34%",154.6,"$436,700 6.55%",146.5,"$320,900 4.05%",145.9,"$293,000 1.11%"
Halton Region,155.3,"$509,400 3.81%",153.9,"$570,700 4.69%",155.4,"$403,300 3.32%",149.3,"$295,500 1.29%",-,- -
Burlington,165.1,"$475,800 4.63%",164.6,"$562,600 4.71%",162.7,"$387,800 3.63%",156.6,"$314,500 1.69%",-,- -
Halton Hills,146.7,"$427,100 2.73%",147.1,"$470,600 3.30%",151.0,"$371,900 3.21%",145.0,"$261,400 1.47%",-,- -
Milton,146.1,"$409,800 2.60%",138.8,"$483,500 1.17%",148.5,"$370,700 2.70%",-,- -,-,- -
Oakville,162.6,"$599,900 4.23%",161.7,"$670,200 6.10%",164.9,"$446,300 3.52%",148.8,"$328,700 0.54%",-,- -
Peel Region,145.7,"$398,500 5.12%",146.7,"$496,600 5.31%",148.2,"$378,200 5.63%",148.6,"$307,500 4.87%",134.9,"$232,200 4.33%"
Brampton,140.0,"$357,100 5.66%",141.7,"$414,100 6.30%",142.3,"$335,200 5.33%",133.0,"$247,100 6.15%",116.1,"$181,700 4.13%"
Caledon,139.1,"$495,600 0.36%",139.8,"$513,100 2.12%",150.2,"$371,400 7.52%",-,- -,-,- -
Mississauga,150.4,"$420,400 5.17%",153.7,"$572,700 4.77%",154.8,"$423,100 6.10%",153.3,"$329,200 4.71%",137.9,"$241,500 4.47%"
City of Toronto,153.7,"$503,700 4.27%",155.2,"$672,800 6.96%",163.2,"$541,200 7.58%",150.3,"$363,500 3.23%",148.8,"$307,200 0.61%"
"! TURN PAGE FOR CITY OF TORONTO",,,,,,,,,,
TABLES OR CLICK HERE:,,,,,,,,,,
York Region,156.7,"$537,700 6.09%",157.4,"$618,400 6.93%",159.5,"$462,100 6.90%",148.0,"$377,300 7.01%",144.5,"$313,900 -0.07%"
Aurora,152.3,"$490,400 9.81%",151.0,"$561,000 13.53%",156.4,"$404,800 11.79%",138.8,"$351,600 9.98%",139.9,"$290,700 -3.05%"
E. Gwillimbury,142.3,"$460,100 11.87%",142.1,"$466,800 10.58%",150.0,"$317,600 11.94%",-,- -,-,- -
