"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment
"",Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.
TREB Total,151.4,"$461,900 7.91%",151.2,"$562,200 9.25%",155.4,"$439,000 8.90%",147.7,"$323,500 7.34%",147.7,"$296,600 4.38%"
Halton Region,157.3,"$516,000 7.81%",155.1,"$575,200 8.08%",157.4,"$408,500 7.37%",159.4,"$315,500 10.85%",-,- -
Burlington,165.1,"$475,800 7.21%",163.6,"$559,200 6.65%",159.9,"$381,100 3.23%",166.5,"$334,400 10.41%",-,- -
Halton Hills,151.2,"$440,200 8.00%",150.7,"$482,100 7.72%",155.4,"$382,700 8.44%",156.4,"$282,000 12.11%",-,- -
Milton,150.7,"$422,700 8.11%",143.5,"$499,900 6.14%",153.1,"$382,200 8.05%",-,- -,-,- -
Oakville,162.6,"$599,900 7.40%",161.0,"$667,300 9.08%",163.7,"$443,100 6.51%",158.4,"$349,900 9.70%",-,- -
Peel Region,145.8,"$398,800 7.05%",147.2,"$498,300 6.98%",148.0,"$377,700 7.01%",148.5,"$307,300 7.92%",134.7,"$231,800 6.06%"
Brampton,139.4,"$355,600 6.90%",140.8,"$411,500 7.56%",141.3,"$332,800 6.40%",131.3,"$243,900 5.80%",118.8,"$185,900 5.98%"
Caledon,141.5,"$504,200 4.66%",143.1,"$525,300 5.30%",147.9,"$365,700 6.79%",-,- -,-,- -
Mississauga,150.8,"$421,500 7.41%",155.4,"$579,000 6.73%",155.4,"$424,700 7.84%",153.7,"$330,100 8.62%",137.1,"$240,100 6.11%"
City of Toronto,156.5,"$512,900 7.86%",159.3,"$690,600 11.17%",164.5,"$545,500 10.11%",153.9,"$372,200 8.08%",150.8,"$311,400 4.07%"
"! TURN PAGE FOR CITY OF TORONTO",,,,,,,,,,
TABLES OR CLICK HERE:,,,,,,,,,,
York Region,158.3,"$543,200 9.47%",158.6,"$623,100 10.52%",161.0,"$466,400 10.27%",147.0,"$374,700 7.38%",149.8,"$325,400 4.76%"
Aurora,147.7,"$475,600 9.90%",145.7,"$541,300 12.42%",151.5,"$392,100 8.76%",135.1,"$342,200 7.31%",143.6,"$298,400 3.76%"
E. Gwillimbury,134.1,"$433,500 6.51%",133.9,"$439,800 5.35%",143.6,"$304,000 9.20%",-,- -,-,- -
Georgina,139.2,"$288,900 9.61%",143.7,"$296,000 10.71%",140.2,"$276,300 9.70%",-,- -,-,- -
King,151.8,"$643,500 11.45%",152.7,"$644,300 11.79%",-,- -,-,- -,-,- -
