Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,253.1,"$767,800",2.35%,245.7,"$907,200",-0.57%,254.0,"$714,100",1.36%,260.3,"$574,700",4.45%,258.8,"$516,500",7.92%,2019,02
Halton Region,258.2,"$832,600",0.23%,254.9,"$940,200",-1.35%,267.9,"$685,400",0.83%,288.3,"$531,800",4.72%,238.4,"$440,900",2.71%,2019,02
Burlington,259.9,"$706,100",1.68%,252.2,"$853,800",-1.52%,277.6,"$666,000",3.04%,297.3,"$546,400",5.20%,238.8,"$393,100",3.11%,2019,02
Halton Hills,248.8,"$736,400",2.34%,246.1,"$800,700",1.23%,256.1,"$580,300",2.69%,273.0,"$438,700",10.75%,227.5,"$460,000",3.32%,2019,02
Milton,249.2,"$738,700",1.80%,247.2,"$884,600",1.98%,259.4,"$626,900",1.89%,256.7,"$425,100",2.64%,236.6,"$481,900",3.09%,2019,02
Oakville,262.6,"$960,600",-1.94%,262.1,"$1,107,900",-2.75%,272.7,"$761,400",-1.59%,280.4,"$606,700",2.07%,238.9,"$458,900",2.23%,2019,02
Peel Region,247.4,"$701,500",4.92%,241.8,"$853,700",3.38%,247.3,"$633,100",4.21%,243.6,"$523,000",3.18%,256.1,"$439,100",11.83%,2019,02
Brampton,247.8,"$628,300",4.47%,242.4,"$708,000",4.71%,249.0,"$584,000",4.53%,243.5,"$445,200",1.88%,242.5,"$362,000",9.73%,2019,02
Caledon,218.3,"$801,600",5.26%,218.6,"$831,000",5.76%,247.4,"$611,200",4.70%,-,-,-,230.6,"$560,600",-2.49%,2019,02
Mississauga,249.5,"$738,700",5.36%,245.5,"$980,600",1.45%,244.5,"$674,300",3.51%,243.6,"$547,600",3.66%,258.5,"$454,100",12.24%,2019,02
City of Toronto,262.9,"$852,400",5.50%,249.8,"$1,096,100",0.56%,265.3,"$884,400",3.51%,267.1,"$635,800",6.03%,267.3,"$549,000",8.70%,2019,02
York Region,247.5,"$835,000",-3.09%,250.0,"$951,300",-3.96%,247.7,"$716,600",-3.62%,237.3,"$609,400",-0.59%,220.8,"$484,300",1.15%,2019,02
Aurora,249.4,"$825,300",-2.62%,247.9,"$936,400",-3.47%,252.1,"$650,200",-1.91%,236.5,"$647,200",-1.13%,241.9,"$505,700",-0.78%,2019,02
East Gwillimbury,220.8,"$754,400",-2.47%,226.2,"$806,200",-1.48%,229.0,"$479,000",-3.17%,-,-,-,-,-,-,2019,02
Georgina,231.3,"$440,700",0.30%,237.2,"$447,200",0.25%,234.4,"$462,100",-2.21%,-,-,-,-,-,-,2019,02
King,222.3,"$930,000",-2.84%,223.2,"$928,500",-2.91%,218.5,"$511,700",-3.53%,-,-,-,227.2,"$621,400",-0.35%,2019,02
Markham,257.1,"$889,700",-2.21%,274.5,"$1,129,300",-3.04%,261.0,"$780,600",-1.29%,233.0,"$619,300",-0.26%,212.3,"$508,200",1.43%,2019,02
Newmarket,225.5,"$664,500",-2.93%,225.7,"$760,800",-3.38%,223.4,"$526,200",-3.21%,225.2,"$467,600",-1.75%,260.9,"$439,500",0.97%,2019,02
