Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,262.0,"$794,800",3.11%,254.4,"$939,300",0.83%,262.4,"$737,700",2.26%,266.9,"$589,200",4.87%,267.9,"$534,700",6.82%,2019,05
Halton Region,271.1,"$874,200",2.26%,267.9,"$988,100",1.79%,277.8,"$710,700",2.43%,298.7,"$551,000",7.37%,252.7,"$467,300",-2.62%,2019,05
Burlington,277.8,"$754,700",4.16%,273.2,"$924,900",3.37%,293.3,"$703,700",3.75%,307.5,"$565,100",7.52%,253.4,"$417,100",-2.01%,2019,05
Halton Hills,254.8,"$754,100",2.74%,251.8,"$819,300",1.70%,261.0,"$591,400",3.33%,282.8,"$454,500",12.40%,242.2,"$489,700",-1.66%,2019,05
Milton,255.1,"$756,200",2.82%,250.3,"$895,700",2.62%,265.0,"$640,500",3.27%,266.3,"$440,900",5.38%,251.2,"$511,700",-2.03%,2019,05
Oakville,275.7,"$1,008,500",0.44%,275.0,"$1,162,500",0.66%,284.7,"$795,000",0.78%,291.4,"$630,500",5.31%,252.9,"$485,800",-3.44%,2019,05
Peel Region,256.5,"$727,300",5.60%,249.8,"$882,000",4.04%,255.7,"$654,600",4.75%,254.5,"$546,400",5.87%,267.1,"$458,000",10.97%,2019,05
Brampton,255.2,"$647,100",4.76%,249.8,"$729,600",4.91%,257.0,"$602,800",5.33%,252.9,"$462,400",3.82%,245.1,"$365,900",7.12%,2019,05
Caledon,217.4,"$798,300",-0.78%,216.7,"$823,700",-1.10%,250.3,"$618,300",1.42%,-,-,-,237.7,"$577,900",0.38%,2019,05
Mississauga,260.8,"$772,200",6.75%,256.1,"$1,022,900",3.85%,254.1,"$700,800",4.10%,255.1,"$573,400",6.60%,270.8,"$475,700",11.58%,2019,05
