,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,293.4,"890,400",11.09%,285.5,"1,054,300",11.79%,296.4,"832,900",12.32%,305.9,"672,000",12.67%,295.8,"592,900",8.91%
Halton Region,304.8,"988,600",12.27%,305.9,"1,128,300",12.55%,313.7,"802,600",13.09%,333.1,"640,500",14.70%,279.5,"569,400",12.47%
Burlington,316.5,"877,800",13.73%,317.6,"1,075,200",14.66%,332.9,"798,600",14.08%,342.6,"642,400",14.62%,287.2,"565,900",12.98%
Halton Hills,292.8,"871,200",14.60%,292.5,"951,800",14.48%,304.5,"689,900",15.30%,297.6,"508,800",17.91%,264.1,"571,800",13.49%
Milton,289.1,"856,500",12.40%,287.9,"1,029,400",13.26%,303.4,"733,300",13.85%,309.3,"532,300",16.72%,290.9,"556,900",12.06%
Oakville,304.4,"1,118,300",10.49%,309.4,"1,307,900",10.70%,316.4,"883,500",11.92%,329.3,"741,800",14.94%,263.3,"539,300",10.35%
Peel Region,291.3,"826,200",11.95%,279.7,"990,600",10.86%,291.4,"744,600",12.47%,301.1,"636,000",14.27%,307.8,"527,700",13.45%
Brampton,292.6,"745,800",12.58%,282.1,"831,400",11.63%,295.4,"689,900",13.09%,306.8,"551,400",15.21%,298.8,"446,000",16.40%
Caledon,247.8,"910,000",12.03%,248.7,"945,400",12.38%,285.0,"704,100",12.74%,-,-,-,251.6,"611,700",7.98%
Mississauga,294.3,"869,300",11.60%,282.9,"1,129,900",9.74%,285.2,"786,500",11.23%,298.8,"660,400",13.83%,309.4,"543,500",13.00%
City of Toronto,299.7,"971,800",9.34%,288.8,"1,267,200",11.85%,306.0,"1,019,900",11.39%,306.0,"729,200",10.91%,301.6,"621,200",7.45%
York Region,282.8,"955,000",11.16%,285.5,"1,085,700",11.09%,284.8,"824,000",11.25%,266.8,"692,400",11.96%,257.7,"574,900",11.17%
Aurora,280.0,"924,000",11.33%,280.0,"1,052,000",11.07%,289.6,"746,800",11.60%,267.9,"733,200",13.09%,244.3,"560,200",9.45%
East Gwillimbury,255.1,"871,600",15.59%,258.5,"921,300",14.53%,269.4,"563,500",19.73%,-,-,-,-,-,-
Georgina,277.7,"528,600",15.71%,284.3,"535,500",15.57%,278.9,"549,700",15.53%,-,-,-,-,-,-
King,249.7,"1,044,700",7.96%,250.0,"1,040,000",7.67%,249.0,"583,200",8.45%,-,-,-,256.5,"701,600",10.23%
Markham,290.8,"1,007,900",10.44%,306.5,"1,260,900",9.58%,291.5,"871,800",9.42%,258.3,"689,700",13.14%,259.8,"621,300",11.84%
Newmarket,259.8,"766,200",12.66%,262.4,"884,400",13.45%,261.1,"615,000",14.12%,245.1,"508,900",8.84%,269.1,"479,700",8.77%
Richmond Hill,296.2,"1,065,900",10.94%,314.0,"1,334,400",10.99%,295.3,"897,500",11.81%,262.7,"666,000",10.33%,260.6,"545,800",11.37%
Vaughan,279.6,"1,011,000",10.60%,269.6,"1,120,700",10.13%,285.2,"863,900",11.15%,306.1,"864,700",12.29%,253.2,"584,300",10.52%
Whitchurch-Stouffville,287.7,"992,600",11.38%,285.6,"1,024,600",11.21%,259.0,"711,500",12.32%,242.5,"435,300",12.48%,240.9,"621,800",9.40%
Durham Region,280.4,"653,400",15.06%,272.3,"706,300",14.60%,290.7,"580,500",16.70%,309.4,"481,300",15.40%,277.4,"470,700",14.11%
Ajax,280.2,"690,500",13.86%,276.9,"742,800",13.90%,285.7,"616,500",14.28%,292.2,"537,100",12.95%,266.4,"431,800",13.75%
