,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,278.9,"846,100",10.19%,268.4,"991,000",9.24%,278.9,"784,100",9.80%,285.0,"629,200",9.49%,289.8,"578,400",11.98%
City of Toronto,287.6,"932,500",9.40%,270.0,"1,184,800",8.09%,286.5,"955,100",7.99%,280.4,"667,500",4.98%,296.6,"609,200",10.96%
Toronto W01,266.5,"1,074,100",9.13%,253.7,"1,323,800",9.64%,272.8,"1,051,900",10.04%,269.2,"569,800",5.61%,269.9,"610,200",9.58%
Toronto W02,301.6,"1,073,300",8.45%,287.4,"1,215,800",9.74%,318.9,"977,400",2.97%,284.5,"670,400",3.95%,314.7,"675,600",15.44%
Toronto W03,309.1,"795,500",8.68%,312.1,"848,400",9.09%,302.8,"775,600",7.45%,272.5,"555,900",1.64%,308.4,"526,900",13.01%
Toronto W04,281.4,"720,400",9.66%,271.7,"855,700",7.18%,259.2,"749,500",4.73%,244.3,"577,300",7.43%,300.8,"440,600",13.42%
Toronto W05,267.3,"634,500",9.15%,267.9,"888,500",7.94%,246.2,"718,900",8.51%,254.4,"462,000",5.91%,295.8,"388,700",12.47%
Toronto W06,238.6,"698,800",14.66%,292.9,"935,200",11.50%,247.7,"750,600",18.01%,298.8,"888,600",2.86%,208.6,"528,500",16.60%
Toronto W07,251.1,"1,076,400",11.35%,263.9,"1,143,800",10.46%,241.6,"990,700",17.11%,-,-,-,169.6,"687,700",12.10%
Toronto W08,242.0,"964,800",11.06%,224.8,"1,175,100",10.63%,230.2,"852,800",16.68%,266.8,"641,700",5.37%,253.4,"527,700",11.34%
Toronto W09,264.5,"665,800",12.36%,252.2,"940,500",16.01%,222.8,"640,700",14.61%,289.6,"753,500",6.78%,275.5,"353,300",9.37%
Toronto W10,285.8,"658,300",17.76%,275.4,"826,200",14.61%,282.3,"722,400",14.90%,245.9,"523,700",9.68%,302.2,"419,700",21.61%
Toronto C01,333.6,"824,300",10.24%,330.5,"1,251,600",10.72%,315.1,"1,103,000",10.83%,291.5,"831,600",3.66%,336.2,"699,900",10.56%
Toronto C02,286.0,"1,370,600",8.54%,251.0,"2,005,400",13.47%,285.9,"1,499,400",10.30%,277.1,"1,237,400",2.63%,290.3,"827,000",7.44%
Toronto C03,315.5,"1,647,900",8.01%,295.5,"1,816,000",10.30%,313.3,"1,161,800",8.63%,-,-,-,347.6,"909,300",4.54%
Toronto C04,254.5,"1,570,600",1.80%,252.7,"1,780,400",-0.47%,260.4,"1,219,100",3.99%,-,-,-,251.6,"581,900",8.03%
Toronto C06,297.5,"1,158,500",10.47%,268.7,"1,147,700",7.87%,226.9,"839,400",7.74%,259.5,"696,000",5.75%,324.1,"716,800",11.76%
Toronto C07,273.7,"946,900",7.17%,292.2,"1,336,700",4.66%,207.1,"741,100",2.63%,260.2,"733,400",7.21%,267.6,"653,500",8.78%
Toronto C08,301.7,"788,900",9.63%,294.6,"1,718,800",6.05%,285.8,"1,363,400",3.36%,297.1,"768,300",-1.43%,302.7,"654,300",10.43%
Toronto C09,195.3,"1,382,400",8.50%,146.0,"1,834,000",12.48%,159.9,"1,301,200",10.28%,302.7,"1,657,900",5.32%,220.6,"730,800",7.09%
Toronto C10,294.9,"1,151,300",6.42%,272.1,"1,679,900",1.23%,260.2,"1,285,400",1.17%,288.5,"842,100",6.54%,307.3,"733,800",8.36%
Toronto C11,285.1,"1,008,900",8.36%,216.7,"1,476,100",9.06%,252.5,"1,118,100",10.79%,237.0,"410,600",-0.13%,336.3,"488,300",7.93%
Toronto C12,225.9,"1,927,300",2.08%,205.9,"2,206,800",1.08%,266.6,"1,115,900",4.47%,205.4,"821,800",-0.82%,284.7,"892,600",2.15%
Toronto C13,261.1,"945,400",6.53%,249.5,"1,330,600",0.93%,225.5,"719,500",0.36%,243.2,"703,100",-0.16%,273.7,"551,100",12.22%
Toronto C14,287.4,"939,700",7.12%,265.8,"1,437,900",0.72%,210.6,"1,025,500",-3.53%,316.5,"852,300",2.56%,289.2,"728,300",8.80%
Toronto C15,262.2,"850,900",9.07%,286.3,"1,344,300",6.67%,232.7,"756,500",6.35%,277.2,"663,500",-2.50%,254.7,"592,200",13.86%
Toronto E01,363.1,"1,134,000",7.24%,351.0,"1,238,500",7.83%,359.1,"1,132,800",6.31%,418.6,"765,600",3.72%,365.0,"865,800",12.00%
Toronto E02,301.4,"1,128,700",5.20%,261.1,"1,189,600",5.88%,319.2,"1,068,900",6.05%,342.7,"987,000",0.91%,275.8,"754,000",4.59%
Toronto E03,283.4,"871,800",6.82%,290.7,"980,100",6.72%,268.3,"878,600",5.55%,-,-,-,273.9,"400,100",9.47%
Toronto E04,293.3,"724,400",13.16%,273.2,"805,500",13.64%,287.0,"691,600",18.01%,268.6,"582,300",5.91%,336.0,"515,500",12.15%
Toronto E05,268.4,"704,300",9.51%,269.9,"950,500",9.27%,257.7,"710,100",7.69%,269.3,"585,600",8.15%,267.9,"526,200",10.61%
Toronto E06,279.1,"778,300",4.06%,281.4,"803,700",4.30%,281.1,"668,600",4.69%,-,-,-,264.0,"558,300",3.25%
Toronto E07,292.2,"716,300",12.82%,287.7,"943,000",8.48%,273.7,"715,700",7.25%,277.5,"601,200",6.90%,301.0,"515,500",17.85%
Toronto E08,286.8,"692,100",5.60%,267.5,"833,800",4.13%,238.7,"618,700",5.11%,292.9,"597,800",7.84%,321.2,"512,400",7.28%
Toronto E09,285.9,"683,600",13.86%,275.0,"780,800",13.45%,267.9,"655,300",17.91%,312.0,"579,800",9.94%,293.8,"551,100",14.72%
Toronto E10,280.4,"785,900",9.19%,264.8,"848,500",8.88%,262.3,"680,200",11.29%,330.4,"576,800",7.13%,282.3,"455,100",4.17%
Toronto E11,294.5,"644,200",11.72%,289.7,"805,800",7.30%,292.5,"662,500",12.07%,233.0,"457,300",15.86%,345.8,"516,100",13.56%
