,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,286.7,"870,000",9.43%,273.6,"1,010,400",7.55%,285.8,"803,100",8.92%,296.0,"650,300",10.28%,300.0,"601,300",12.19%
City of Toronto,298.2,"966,900",9.79%,278.5,"1,222,000",7.57%,294.7,"982,300",7.83%,298.3,"710,800",8.87%,307.6,"633,600",11.41%
Toronto W01,281.5,"1,134,400",6.31%,269.3,"1,405,300",8.28%,289.6,"1,116,700",7.34%,287.1,"607,700",8.18%,283.6,"641,200",5.19%
Toronto W02,327.3,"1,163,400",10.80%,303.6,"1,284,300",13.07%,343.2,"1,052,000",11.97%,368.5,"710,800",7.25%,329.5,"707,300",8.17%
Toronto W03,318.2,"820,200",8.34%,322.8,"877,600",9.46%,311.0,"796,600",8.14%,258.7,"627,100",9.16%,316.8,"541,300",4.45%
Toronto W04,309.2,"792,800",14.22%,283.1,"891,600",8.76%,272.9,"789,100",9.20%,259.7,"608,000",7.09%,351.2,"518,100",20.85%
Toronto W05,277.1,"658,000",10.05%,275.0,"912,000",8.48%,250.8,"732,300",8.34%,262.9,"477,400",3.95%,314.4,"413,100",16.83%
Toronto W06,248.0,"723,100",12.57%,303.8,"970,000",8.31%,249.9,"757,300",9.13%,311.3,"923,100",7.34%,216.3,"542,600",14.08%
Toronto W07,258.9,"1,108,100",8.19%,273.3,"1,184,500",7.98%,243.9,"1,000,000",8.59%,212.4,"780,800",6.47%,178.7,"724,600",10.79%
Toronto W08,252.4,"1,006,300",9.83%,230.8,"1,206,400",6.46%,232.0,"859,400",8.67%,288.5,"693,900",12.08%,265.7,"553,300",11.31%
Toronto W09,277.2,"697,800",11.33%,256.3,"955,900",9.06%,215.8,"620,500",1.36%,309.4,"805,000",6.51%,299.1,"383,500",15.62%
Toronto W10,301.3,"684,300",14.26%,281.8,"845,400",9.52%,287.9,"736,700",10.86%,314.7,"566,500",13.36%,317.0,"440,300",18.59%
Toronto C01,338.9,"837,300",10.00%,320.8,"1,214,900",3.18%,308.3,"1,079,200",4.16%,312.0,"889,300",9.67%,341.9,"711,800",10.58%
Toronto C02,283.3,"1,363,200",2.05%,250.7,"2,003,100",8.25%,277.2,"1,453,800",4.13%,310.7,"1,562,300",2.44%,286.7,"816,800",0.03%
Toronto C03,321.6,"1,679,600",6.81%,298.7,"1,835,700",8.30%,311.6,"1,155,400",4.81%,-,-,-,360.8,"943,800",5.16%
Toronto C04,259.1,"1,612,800",6.23%,259.9,"1,831,200",3.79%,265.5,"1,243,000",4.49%,-,-,-,247.3,"661,500",13.08%
Toronto C06,308.1,"1,199,800",8.07%,269.5,"1,151,000",1.93%,230.7,"853,500",8.06%,276.1,"740,500",11.69%,342.5,"757,500",11.67%
Toronto C07,287.7,"995,300",9.18%,295.3,"1,350,900",2.07%,209.4,"749,400",3.10%,277.1,"781,000",12.69%,286.9,"700,600",12.82%
Toronto C08,305.6,"799,200",8.45%,307.6,"1,801,100",5.31%,303.9,"1,449,800",4.33%,300.9,"778,100",5.65%,305.6,"660,600",8.79%
