,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,295.8,"897,700",10.79%,290.6,"1,073,200",12.68%,301.2,"846,400",12.64%,308.9,"678,600",12.78%,291.9,"585,100",6.15%
Halton Region,310.7,"1,007,700",12.25%,313.3,"1,155,600",12.74%,323.6,"827,900",13.82%,338.2,"650,300",14.57%,277.2,"564,700",11.06%
Burlington,320.6,"889,100",12.49%,324.5,"1,098,500",13.94%,338.6,"812,300",12.19%,347.3,"651,200",14.17%,284.6,"560,700",11.09%
Halton Hills,298.8,"889,000",15.50%,298.1,"970,000",15.45%,314.6,"712,800",16.13%,304.8,"521,100",18.69%,258.4,"559,400",10.43%
Milton,297.8,"882,300",13.45%,297.5,"1,063,700",14.73%,314.2,"759,400",14.92%,317.3,"546,100",17.30%,288.9,"553,000",10.18%
Oakville,310.4,"1,140,300",10.90%,316.7,"1,338,800",10.93%,328.7,"917,800",14.13%,333.8,"751,900",14.94%,261.0,"534,600",9.48%
Peel Region,295.1,"836,900",12.08%,285.8,"1,012,200",12.48%,297.4,"760,000",13.55%,301.7,"637,300",13.17%,306.4,"525,300",10.30%
Brampton,297.9,"759,400",13.18%,288.1,"849,100",12.80%,301.6,"704,400",13.77%,310.9,"558,800",15.88%,297.1,"443,500",11.86%
Caledon,262.0,"962,100",16.03%,264.3,"1,004,700",16.28%,296.3,"732,000",17.16%,-,-,-,250.1,"608,000",9.07%
Mississauga,295.8,"873,700",10.99%,287.3,"1,147,500",11.57%,290.1,"800,100",12.57%,298.0,"658,600",12.07%,308.0,"541,100",10.04%
City of Toronto,296.9,"962,700",7.18%,288.8,"1,267,200",10.69%,305.1,"1,016,900",9.39%,305.8,"728,700",10.96%,296.7,"611,100",4.55%
York Region,285.5,"964,100",12.14%,289.5,"1,100,900",12.65%,288.9,"835,800",12.54%,269.6,"699,700",12.15%,255.3,"569,600",9.57%
Aurora,285.8,"943,200",14.23%,287.0,"1,078,300",14.62%,294.1,"758,400",15.51%,274.3,"750,700",14.34%,245.6,"563,200",10.33%
East Gwillimbury,258.5,"883,200",17.13%,262.3,"934,800",16.53%,271.6,"568,100",19.18%,-,-,-,-,-,-
Georgina,284.5,"541,500",20.09%,291.1,"548,300",19.79%,289.4,"570,400",21.24%,-,-,-,-,-,-
King,260.6,"1,090,300",13.60%,261.7,"1,088,700",13.73%,255.9,"599,300",13.23%,-,-,-,254.3,"695,600",8.49%
Markham,292.1,"1,012,400",10.69%,309.3,"1,272,500",10.62%,295.0,"882,300",10.61%,261.5,"698,200",11.70%,255.3,"610,600",9.24%
Newmarket,263.4,"776,800",13.29%,266.0,"896,600",13.77%,265.7,"625,800",14.72%,249.0,"517,000",10.03%,270.1,"481,500",9.80%
Richmond Hill,296.7,"1,067,700",10.83%,313.9,"1,334,000",10.33%,297.9,"905,400",11.91%,259.9,"658,900",10.22%,260.4,"545,400",10.90%
Vaughan,282.9,"1,023,000",11.86%,274.3,"1,140,200",11.78%,290.6,"880,200",13.16%,308.9,"872,600",15.09%,250.8,"578,700",8.76%
Whitchurch-Stouffville,292.1,"1,007,800",12.22%,291.0,"1,044,000",12.57%,263.7,"724,400",12.21%,250.8,"450,200",13.79%,241.9,"624,300",10.26%
Durham Region,290.9,"677,900",18.16%,282.0,"731,500",17.84%,301.5,"602,100",19.60%,325.9,"507,000",20.44%,284.4,"482,600",12.23%
Ajax,289.4,"713,100",16.83%,285.3,"765,400",16.78%,297.1,"641,100",18.37%,308.2,"566,500",19.36%,273.9,"444,000",11.80%
Brock,256.8,"449,100",22.64%,258.8,"453,200",22.83%,709.0,"399,900",29.64%,-,-,-,-,-,-
Clarington,288.2,"608,500",18.89%,278.0,"669,500",18.55%,288.0,"550,200",21.06%,326.6,"511,700",17.06%,260.8,"386,200",12.41%
Oshawa,304.1,"579,900",21.30%,289.4,"617,600",20.78%,327.5,"548,100",22.75%,348.9,"434,500",22.34%,283.6,"393,200",14.82%
Pickering,292.8,"781,900",15.96%,279.4,"870,400",15.36%,299.0,"697,700",15.85%,318.6,"545,500",19.86%,322.5,"601,600",12.49%
