,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,293.4,"890,400",11.09%,285.5,"1,054,300",11.79%,296.4,"832,900",12.32%,305.9,"672,000",12.67%,295.8,"592,900",8.91%
City of Toronto,299.7,"971,800",9.34%,288.8,"1,267,200",11.85%,306.0,"1,019,900",11.39%,306.0,"729,200",10.91%,301.6,"621,200",7.45%
Toronto W01,279.2,"1,125,200",6.32%,266.0,"1,388,000",9.87%,284.7,"1,097,800",9.80%,299.8,"634,500",15.53%,280.2,"633,500",3.20%
Toronto W02,332.2,"1,180,800",11.07%,310.4,"1,313,000",12.30%,353.0,"1,082,000",12.17%,375.0,"723,300",10.00%,324.4,"696,400",8.42%
Toronto W03,331.1,"853,400",13.12%,336.4,"914,600",13.92%,330.4,"846,300",15.48%,260.2,"630,700",8.19%,314.5,"537,400",4.80%
Toronto W04,318.6,"816,900",17.00%,292.7,"921,800",12.84%,286.5,"828,500",15.57%,269.9,"631,800",11.21%,358.7,"529,200",21.31%
Toronto W05,281.2,"667,700",10.02%,282.1,"935,600",11.55%,258.0,"753,300",10.97%,274.3,"498,100",9.46%,307.7,"404,300",8.54%
Toronto W06,257.8,"751,700",15.09%,321.5,"1,026,500",12.69%,260.1,"788,200",12.31%,324.0,"960,700",11.46%,220.9,"554,100",14.75%
Toronto W07,270.0,"1,155,600",10.57%,287.5,"1,246,000",11.05%,249.7,"1,023,800",10.19%,247.6,"910,200",27.50%,172.1,"697,900",8.04%
Toronto W08,253.7,"1,011,500",8.79%,242.8,"1,269,100",10.87%,239.0,"885,300",10.19%,299.5,"720,300",15.86%,258.1,"537,400",6.26%
Toronto W09,287.6,"724,000",14.17%,268.9,"1,002,900",12.84%,231.1,"664,400",11.53%,323.7,"842,200",13.66%,307.4,"394,200",16.88%
Toronto W10,308.4,"700,400",13.63%,293.8,"881,400",13.31%,300.1,"767,900",14.24%,355.9,"640,700",20.48%,314.5,"436,800",12.93%
Toronto C01,329.3,"813,600",5.78%,333.8,"1,264,200",7.78%,321.3,"1,124,700",9.47%,310.9,"886,200",8.25%,329.8,"686,600",5.37%
Toronto C02,294.7,"1,418,100",6.43%,264.8,"2,115,700",11.07%,297.7,"1,561,300",8.77%,308.4,"1,550,700",6.60%,294.0,"837,600",4.51%
Toronto C03,332.5,"1,736,600",9.34%,313.5,"1,926,600",10.74%,335.7,"1,244,800",11.01%,-,-,-,358.5,"937,800",6.19%
Toronto C04,260.8,"1,623,400",8.80%,262.8,"1,851,600",8.06%,263.0,"1,231,300",7.74%,-,-,-,247.1,"661,000",10.31%
Toronto C06,299.9,"1,167,900",6.46%,284.5,"1,215,100",13.12%,232.5,"860,200",9.88%,277.0,"742,900",9.14%,316.3,"699,500",2.13%
Toronto C07,280.3,"969,700",7.31%,310.5,"1,420,500",11.13%,217.8,"779,400",9.94%,279.9,"788,900",9.55%,265.8,"649,100",4.44%
Toronto C08,297.2,"777,200",2.20%,306.7,"1,795,800",5.83%,309.3,"1,475,500",8.37%,299.5,"774,500",6.36%,296.0,"639,900",1.61%
Toronto C09,213.2,"1,516,900",10.81%,153.2,"1,924,500",10.53%,162.7,"1,323,900",5.99%,295.4,"1,744,600",6.11%,249.5,"826,600",12.13%
Toronto C10,297.8,"1,177,100",5.64%,282.1,"1,741,700",10.80%,272.2,"1,344,800",12.76%,281.8,"944,600",10.68%,306.7,"732,400",3.16%
