,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,286.8,"870,100",10.22%,274.6,"1,013,900",8.49%,286.6,"805,800",9.60%,293.6,"648,200",10.79%,300.0,"598,700",13.21%
Halton Region,297.1,"958,000",10.36%,291.9,"1,076,600",9.65%,301.3,"770,800",8.38%,333.4,"615,000",12.90%,282.8,"523,000",12.94%
Burlington,310.6,"843,800",13.48%,304.7,"1,031,500",13.78%,326.0,"782,100",11.15%,343.6,"631,500",13.03%,284.1,"467,600",13.69%
Halton Hills,276.1,"817,200",8.36%,270.9,"881,400",7.67%,284.5,"644,600",8.63%,318.5,"511,900",13.47%,274.1,"554,200",16.09%
Milton,276.0,"818,200",8.19%,270.6,"968,400",7.55%,285.5,"690,000",7.01%,299.0,"495,100",13.73%,279.2,"568,700",12.04%
Oakville,299.6,"1,095,900",9.22%,297.3,"1,256,700",8.31%,308.1,"860,300",8.87%,323.0,"698,900",12.15%,283.0,"543,600",12.39%
Peel Region,286.1,"811,200",12.55%,274.9,"970,600",10.71%,283.9,"726,800",11.86%,283.8,"609,300",12.57%,309.6,"530,800",17.94%
Brampton,284.6,"721,700",12.14%,276.6,"807,900",11.26%,286.6,"672,200",12.13%,283.5,"518,400",13.08%,292.9,"437,200",20.68%
Caledon,236.0,"866,600",9.36%,236.5,"899,000",9.85%,270.5,"668,200",9.83%,-,-,-,251.2,"610,700",7.44%
Mississauga,291.4,"862,800",13.12%,280.0,"1,118,400",10.15%,280.9,"774,700",11.56%,283.8,"637,900",12.31%,312.4,"548,800",17.49%
City of Toronto,297.5,"964,600",10.43%,278.3,"1,221,200",7.95%,295.7,"985,700",8.24%,289.8,"689,900",8.01%,307.6,"631,800",12.51%
York Region,272.6,"919,700",7.66%,273.2,"1,039,600",6.55%,276.1,"798,800",8.32%,253.3,"650,500",6.83%,254.0,"557,100",12.74%
Aurora,271.6,"898,800",6.47%,266.8,"1,007,800",4.92%,278.9,"719,300",7.85%,259.6,"710,400",10.00%,266.1,"556,300",9.33%
East Gwillimbury,234.7,"801,900",3.30%,237.6,"846,800",2.77%,250.8,"524,600",4.02%,-,-,-,-,-,-
Georgina,249.4,"475,200",6.76%,255.4,"481,500",6.64%,251.8,"496,400",7.79%,-,-,-,-,-,-
King,228.9,"957,600",-0.74%,228.2,"949,300",-1.64%,235.9,"552,500",5.08%,-,-,-,253.3,"692,800",9.18%
Markham,280.9,"972,100",8.29%,296.8,"1,221,000",6.88%,285.2,"853,000",7.79%,247.3,"657,300",7.01%,248.7,"595,300",14.77%
Newmarket,250.5,"738,200",8.63%,249.6,"841,300",7.91%,249.3,"587,200",8.39%,238.6,"495,400",6.09%,286.5,"482,600",9.10%
Richmond Hill,287.3,"1,031,300",7.16%,303.6,"1,290,200",6.90%,282.0,"857,000",6.50%,245.6,"622,600",3.76%,259.0,"527,100",11.93%
Vaughan,273.0,"987,100",8.85%,263.1,"1,093,700",8.45%,280.1,"848,500",10.80%,282.8,"769,000",6.52%,251.8,"581,000",10.88%
Whitchurch-Stouffville,279.0,"961,500",6.41%,274.5,"984,700",5.29%,251.8,"691,600",8.53%,237.6,"426,500",12.02%,271.5,"603,300",11.96%
Durham Region,261.7,"611,200",9.73%,254.8,"662,100",9.03%,271.7,"542,600",10.63%,273.1,"433,100",10.57%,269.1,"456,600",14.17%
Ajax,266.6,"656,000",9.98%,265.2,"711,400",9.63%,274.6,"592,600",11.26%,244.1,"446,200",6.50%,259.2,"420,200",13.78%
Brock,214.1,"389,500",11.45%,215.1,"392,600",11.45%,-,-,-,-,-,-,-,-,-
Clarington,253.7,"535,800",6.91%,245.0,"590,000",6.34%,249.4,"476,400",6.49%,301.6,"472,500",10.48%,244.3,"361,800",12.89%
Oshawa,271.9,"518,600",12.45%,260.2,"555,300",11.72%,291.3,"487,600",13.70%,302.9,"376,200",13.11%,263.8,"365,700",15.15%
Pickering,265.9,"712,500",8.27%,256.8,"799,800",6.47%,275.2,"642,200",8.35%,257.2,"459,200",7.89%,307.6,"573,800",15.25%
Scugog,226.2,"590,600",7.56%,233.8,"605,700",7.40%,226.0,"473,000",5.85%,-,-,-,-,-,-
Uxbridge,231.0,"706,000",4.81%,229.6,"709,000",4.74%,236.1,"579,400",6.74%,-,-,-,-,-,-
Whitby,260.8,"678,700",10.27%,260.8,"750,100",9.90%,269.0,"592,600",11.90%,222.4,"404,900",5.80%,244.0,"442,200",11.31%
Dufferin County,284.8,"652,800",6.87%,297.4,"677,700",6.82%,281.8,"528,100",9.78%,-,-,-,-,-,-
Orangeville,284.8,"652,800",6.87%,297.4,"677,700",6.82%,281.8,"528,100",9.78%,-,-,-,-,-,-
Simcoe County,260.3,"570,300",10.62%,250.4,"564,400",13.00%,277.0,"513,400",9.14%,-,-,-,-,-,-
Adjala-Tosorontio,241.4,"726,400",8.49%,241.4,"728,100",8.49%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,275.2,"670,700",17.06%,260.3,"712,100",12.59%,297.0,"617,300",11.78%,-,-,-,-,-,-
Essa,261.0,"505,900",11.68%,257.3,"519,100",7.93%,273.9,"425,500",7.12%,-,-,-,-,-,-
Innisfil,269.9,"520,400",3.25%,258.9,"498,500",4.35%,277.1,"423,600",6.13%,-,-,-,-,-,-
Barrie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Tecumseth,244.3,"580,500",8.67%,237.1,"601,400",8.31%,259.8,"471,000",9.62%,-,-,-,-,-,-
