,Composite,,,Single Family Detached,,,Single Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,295.8,"897,700",10.79%,290.6,"1,073,200",12.68%,301.2,"846,400",12.64%,308.9,"678,600",12.78%,291.9,"585,100",6.15%
City of Toronto,296.9,"962,700",7.18%,288.8,"1,267,200",10.69%,305.1,"1,016,900",9.39%,305.8,"728,700",10.96%,296.7,"611,100",4.55%
Toronto W01,276.0,"1,112,300",3.49%,263.5,"1,375,000",4.77%,281.2,"1,084,300",4.42%,286.8,"607,000",9.55%,278.8,"630,300",2.16%
Toronto W02,331.5,"1,178,300",9.84%,307.4,"1,300,300",9.94%,349.1,"1,070,100",9.33%,373.5,"720,500",10.93%,329.1,"706,500",9.63%
Toronto W03,328.3,"846,200",10.32%,333.1,"905,600",10.81%,323.6,"828,800",10.71%,267.2,"647,700",13.46%,319.1,"545,200",5.63%
Toronto W04,319.4,"819,000",14.85%,292.1,"919,900",9.81%,283.2,"818,900",11.76%,265.9,"622,500",9.56%,363.4,"536,100",20.73%
Toronto W05,284.4,"675,300",8.14%,284.0,"941,900",9.36%,260.6,"760,900",9.27%,281.0,"510,300",10.33%,310.8,"408,400",5.61%
Toronto W06,254.2,"741,200",11.74%,321.6,"1,026,900",11.74%,261.7,"793,100",9.64%,321.0,"951,800",9.93%,214.5,"538,000",9.61%
Toronto W07,270.2,"1,156,500",10.29%,288.5,"1,250,400",11.56%,250.5,"1,027,100",7.51%,233.5,"858,300",13.13%,174.2,"706,400",6.15%
Toronto W08,255.6,"1,019,100",8.90%,245.3,"1,282,200",12.94%,241.6,"895,000",8.63%,308.0,"740,800",21.55%,259.1,"539,500",4.94%
Toronto W09,283.9,"714,600",11.99%,272.0,"1,014,400",14.72%,246.1,"707,600",19.47%,313.6,"815,900",9.88%,295.2,"378,500",9.86%
Toronto W10,312.8,"710,400",13.79%,297.0,"891,000",13.19%,301.9,"772,500",12.86%,352.5,"634,600",19.29%,321.7,"446,800",13.88%
Toronto C01,318.3,"786,400",0.76%,322.4,"1,221,000",2.68%,317.5,"1,111,400",6.54%,310.6,"885,300",8.56%,317.6,"661,200",-0.06%
Toronto C02,290.8,"1,399,300",4.64%,259.1,"2,070,200",7.69%,289.7,"1,519,400",5.23%,310.3,"1,560,300",10.27%,291.9,"831,600",3.00%
Toronto C03,330.0,"1,723,500",8.48%,308.8,"1,897,700",9.58%,322.8,"1,197,000",7.96%,-,-,-,369.7,"967,100",8.77%
Toronto C04,261.5,"1,627,700",8.24%,262.6,"1,850,200",6.57%,269.3,"1,260,800",10.01%,-,-,-,249.9,"668,500",12.37%
Toronto C06,293.1,"1,141,400",1.35%,279.2,"1,192,500",10.18%,237.1,"877,200",8.41%,280.0,"751,000",11.46%,308.4,"682,000",-3.99%
Toronto C07,278.0,"961,800",5.26%,304.1,"1,391,200",7.65%,217.0,"776,500",8.39%,283.0,"797,700",11.73%,263.9,"644,400",2.37%
Toronto C08,289.1,"756,000",-0.34%,317.9,"1,861,400",7.25%,319.4,"1,523,700",10.56%,302.8,"783,100",6.13%,286.2,"618,700",-1.34%
Toronto C09,213.1,"1,516,200",8.34%,158.8,"1,994,800",8.25%,170.8,"1,389,800",7.15%,296.4,"1,750,500",9.25%,245.4,"813,000",9.31%
Toronto C10,292.7,"1,156,900",1.77%,275.0,"1,697,800",2.31%,262.9,"1,298,800",4.57%,282.5,"946,900",9.58%,302.1,"721,400",0.73%
Toronto C11,306.7,"1,086,000",10.32%,235.9,"1,607,000",7.91%,274.6,"1,274,100",8.97%,272.3,"471,700",19.80%,360.5,"523,400",11.61%
Toronto C12,240.7,"2,053,600",9.71%,217.7,"2,333,200",8.25%,300.7,"1,258,600",21.40%,221.7,"887,000",9.32%,299.8,"940,000",8.90%
Toronto C13,282.2,"1,025,300",8.00%,266.8,"1,422,800",9.79%,248.0,"791,300",13.09%,268.3,"775,600",13.11%,296.3,"605,300",5.63%
Toronto C14,285.5,"933,700",3.67%,278.9,"1,508,700",4.73%,215.8,"1,050,900",2.27%,319.1,"859,300",10.03%,283.9,"714,900",2.83%
