Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,252.3,"$765,400",2.02%,247.6,"$914,200",-1.63%,254.3,"$714,900",1.07%,256.7,"$566,700",3.09%,253.7,"$506,300",10.11%,2018,09
Halton Region,258.5,"$833,500",-0.08%,253.9,"$936,500",-3.13%,267.3,"$683,800",2.41%,280.4,"$517,200",5.06%,257.6,"$476,400",8.24%,2018,09
Burlington,253.8,"$689,500",-0.74%,243.6,"$824,700",-6.67%,269.7,"$647,000",6.98%,288.8,"$530,800",5.59%,256.9,"$422,900",7.99%,2018,09
Halton Hills,246.2,"$728,700",2.03%,245.3,"$798,100",1.28%,252.0,"$571,000",2.82%,256.2,"$411,700",7.15%,245.1,"$495,600",8.64%,2018,09
Milton,248.7,"$737,200",2.05%,244.1,"$873,500",0.91%,257.7,"$622,800",2.26%,254.6,"$421,600",5.08%,255.1,"$519,600",8.92%,2018,09
Oakville,269.2,"$984,700",-0.77%,266.4,"$1,126,100",-3.13%,278.5,"$777,600",0.25%,278.5,"$602,600",4.58%,259.6,"$498,700",8.35%,2018,09
Peel Region,243.3,"$689,900",3.40%,239.2,"$844,600",2.05%,244.6,"$626,200",2.99%,245.0,"$526,000",2.38%,241.4,"$413,900",8.74%,2018,09
Brampton,245.6,"$622,800",3.98%,239.2,"$698,600",3.73%,246.0,"$577,000",4.50%,248.9,"$455,100",1.47%,235.4,"$351,400",8.48%,2018,09
Caledon,217.7,"$799,400",1.92%,218.4,"$830,200",2.39%,241.5,"$596,600",-0.74%,-,-,-,231.7,"$563,300",-0.52%,2018,09
Mississauga,243.5,"$720,900",3.09%,243.2,"$971,400",0.04%,242.9,"$669,900",1.17%,243.6,"$547,600",2.74%,242.5,"$426,000",8.84%,2018,09
City of Toronto,259.6,"$841,700",6.74%,251.9,"$1,105,300",1.04%,263.7,"$879,100",3.98%,264.6,"$629,900",4.54%,260.8,"$535,600",11.50%,2018,09
York Region,252.5,"$851,900",-4.82%,256.6,"$976,500",-6.18%,254.0,"$734,900",-5.58%,239.6,"$615,300",-0.91%,220.8,"$484,300",4.00%,2018,09
Aurora,250.8,"$829,900",-9.82%,250.0,"$944,400",-10.97%,250.3,"$645,500",-9.80%,241.2,"$660,100",-6.29%,237.6,"$496,700",-3.26%,2018,09
East Gwillimbury,219.8,"$751,000",-7.26%,224.1,"$798,700",-7.13%,228.7,"$478,400",-4.91%,-,-,-,-,-,-,2018,09
