Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,252.1,"$764,800",1.45%,247.8,"$914,900",-1.94%,253.8,"$713,500",0.08%,255.0,"$563,000",0.83%,253.3,"$505,500",9.94%,2018,08
Halton Region,259.0,"$835,100",2.01%,255.6,"$942,800",0.12%,268.7,"$687,400",3.63%,273.6,"$504,700",4.07%,255.4,"$472,300",6.91%,2018,08
Burlington,257.9,"$700,600",2.54%,251.5,"$851,400",-1.06%,279.9,"$671,500",10.59%,281.6,"$517,500",4.53%,254.8,"$419,400",6.79%,2018,08
Halton Hills,242.2,"$716,800",0.92%,241.3,"$785,100",0.29%,251.3,"$569,400",3.12%,248.5,"$399,400",5.70%,242.3,"$489,900",7.12%,2018,08
Milton,248.6,"$736,900",3.15%,244.8,"$876,100",2.77%,257.6,"$622,600",3.00%,249.0,"$412,300",4.32%,254.2,"$517,800",8.26%,2018,08
Oakville,267.8,"$979,600",1.21%,265.8,"$1,123,600",0.00%,276.7,"$772,600",0.69%,271.8,"$588,100",3.62%,256.8,"$493,300",6.60%,2018,08
Peel Region,243.3,"$689,900",2.23%,239.3,"$844,900",0.80%,244.0,"$624,600",1.79%,244.6,"$525,200",0.53%,242.7,"$416,100",8.49%,2018,08
Brampton,243.8,"$618,200",1.84%,237.7,"$694,300",1.76%,244.0,"$572,300",2.56%,246.2,"$450,200",-1.40%,234.2,"$349,600",3.45%,2018,08
Caledon,218.1,"$800,900",1.16%,218.1,"$829,100",1.11%,245.6,"$606,700",1.40%,-,-,-,236.7,"$575,400",3.09%,2018,08
Mississauga,245.0,"$725,400",2.68%,245.4,"$980,200",-0.37%,243.8,"$672,400",0.74%,244.1,"$548,700",1.29%,244.1,"$428,800",9.36%,2018,08
City of Toronto,258.5,"$838,200",6.07%,250.8,"$1,100,500",0.04%,261.6,"$872,100",2.63%,264.3,"$629,200",2.09%,259.8,"$533,600",11.60%,2018,08
York Region,253.9,"$856,600",-6.52%,258.3,"$982,900",-7.88%,253.8,"$734,300",-7.37%,239.3,"$614,500",-4.66%,222.7,"$488,400",3.01%,2018,08
Aurora,251.0,"$830,600",-11.09%,250.9,"$947,800",-12.00%,249.4,"$643,200",-11.43%,240.1,"$657,100",-10.88%,243.1,"$508,200",-1.94%,2018,08
East Gwillimbury,228.0,"$779,000",-6.94%,232.4,"$828,300",-6.89%,238.5,"$498,900",-4.26%,-,-,-,-,-,-,2018,08
Georgina,235.0,"$447,800",-9.68%,241.2,"$454,800",-9.39%,238.9,"$471,000",-16.03%,-,-,-,-,-,-,2018,08
King,229.7,"$961,000",-7.49%,230.7,"$959,700",-7.76%,228.4,"$534,900",-9.90%,-,-,-,230.8,"$631,300",3.54%,2018,08
Markham,261.8,"$906,000",-4.38%,280.7,"$1,154,800",-5.71%,262.1,"$783,900",-5.85%,235.6,"$626,200",0.34%,216.7,"$518,700",4.43%,2018,08
