,,Composite,,,Single-Family Detached,,,Single-Family Attached,,,Townhouse,,,Apartment,,
,,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,,178.7,"$545,400",8.43%,182.3,"$678,300",9.82%,187.2,"$529,300",9.28%,172.1,"$376,400",7.23%,160.5,"$322,600",4.02%
Halton Region,,188.1,"$616,200",8.48%,185.9,"$689,900",8.71%,188.1,"$488,100",7.61%,180.0,"$354,900",9.22%,-,-,-
Burlington,,189.8,"$569,700",7.60%,188.5,"$664,000",7.53%,188.0,"$448,100",6.03%,185.0,"$366,800",8.95%,-,-,-
Halton Hills,,171.5,"$499,300",7.79%,170.1,"$544,200",6.91%,181.0,"$445,800",6.35%,169.5,"$305,600",9.14%,-,-,-
Milton,,177.6,"$490,400",6.28%,167.6,"$581,100",6.55%,180.9,"$451,600",6.41%,-,-,-,-,-,-
Oakville,,198.3,"$731,200",9.68%,197.1,"$816,900",9.56%,199.9,"$541,200",9.90%,183.3,"$404,800",9.04%,-,-,-
Peel Region,,170.3,"$466,200",8.54%,172.9,"$586,000",9.50%,175.8,"$448,500",10.22%,173.1,"$358,200",6.72%,146.0,"$251,600",3.18%
Brampton,,164.9,"$420,800",10.08%,164.8,"$482,000",10.01%,167.4,"$394,300",10.57%,158.8,"$294,900",8.77%,134.0,"$209,700",6.94%
Caledon,,156.4,"$558,200",7.42%,157.6,"$579,900",7.80%,169.1,"$418,100",4.58%,-,-,-,-,-,-
Mississauga,,175.9,"$492,200",7.65%,185.5,"$692,500",9.44%,186.4,"$509,200",10.43%,177.8,"$381,800",6.28%,148.3,"$260,100",2.70%
City of Toronto,,179.6,"$588,900",6.34%,189.9,"$823,300",8.39%,194.3,"$645,600",6.41%,175.6,"$424,400",6.30%,163.2,"$337,200",3.75%
! TURN PAGE FOR CITY OF TORONTO TABLES OR CLICK HERE:,,,,,,,,,,,,,,,,
York Region,,195.9,"$672,300",11.94%,197.3,"$775,600",12.29%,201.1,"$582,700",12.28%,177.4,"$450,800",10.05%,161.7,"$350,800",5.07%
Aurora,,183.8,"$591,600",10.19%,184.3,"$684,700",10.43%,189.0,"$488,700",9.50%,146.3,"$370,600",6.71%,158.6,"$328,000",9.61%
E. Gwillimbury,,161.7,"$524,100",4.86%,162.8,"$536,500",5.30%,170.3,"$360,600",3.15%,-,-,-,-,-,-
Georgina,,163.9,"$340,200",9.93%,171.2,"$352,700",10.45%,180.2,"$355,100",11.58%,-,-,-,-,-,-
