"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment,
"",Index,Benchmark,Yr./Yr. % Chg.,Index Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,186.9,"$570,400",10.33%,"191.4 $712,200 11.67%",195.8,"$553,600 11.06%",182.0,"$398,100 10.57%",164.9,"$331,400",5.23%
Halton Region,196.1,"$642,400",9.74%,"193.7 $718,800 9.75%",197.0,"$511,200 9.75%",182.9,"$360,600 8.42%",-,-,-
Burlington,202.0,"$606,300",10.93%,"201.7 $710,500 11.68%",202.0,"$481,500 9.66%",188.2,"$373,100 8.66%",-,-,-
Halton Hills,176.9,"$515,100",7.21%,"175.5 $561,500 6.88%",189.5,"$466,700 8.72%",169.6,"$305,800 6.73%",-,-,-
Milton,185.1,"$511,100",8.50%,"172.5 $598,100 6.68%",189.5,"$473,100 9.03%",169.9,"$311,500 8.91%",-,-,-
Oakville,205.2,"$756,700",10.09%,"204.1 $845,900 10.15%",207.1,"$560,600 10.39%",186.4,"$411,600 8.44%",-,-,-
Peel Region,177.1,"$484,800",9.52%,"179.3 $607,700 10.07%",182.6,"$465,800 10.67%",182.0,"$376,600 10.30%",150.1,"$258,700",3.66%
Brampton,172.6,"$440,500",11.14%,"171.8 $502,500 10.62%",175.1,"$412,500 11.53%",167.1,"$310,300 10.74%",140.9,"$220,500",8.47%
Caledon,161.7,"$577,100",7.44%,"161.9 $595,700 7.01%",176.7,"$436,900 7.74%",-,- -,-,-,-
Mississauga,181.9,"$509,000",8.40%,"191.7 $715,700 10.05%",192.1,"$524,800 10.09%",187.0,"$401,600 10.26%",151.8,"$266,300",2.85%
City of Toronto,185.9,"$609,500",8.21%,"197.4 $855,800 10.53%",201.0,"$667,800 8.53%",185.1,"$447,400 9.27%",167.6,"$346,300",5.21%
York Region,208.7,"$716,200",14.17%,"211.1 $829,900 14.79%",213.6,"$618,900 14.59%",189.7,"$482,000 14.35%",168.1,"$364,700",7.07%
Aurora,195.9,"$630,600",14.36%,"195.1 $724,800 14.43%",203.2,"$525,400 14.54%",156.9,"$397,400 9.19%",168.8,"$349,100",9.82%
East Gwillimbury,179.5,"$581,800",11.01%,"180.2 $593,900 10.82%",193.3,"$409,300 13.97%",-,- -,-,-,-
Georgina,175.6,"$364,400",9.68%,"185.2 $381,500 11.63%",184.5,"$363,600 8.02%",-,- -,-,-,-
