Region,Unnamed: 1,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,,156.6,"$477,700",4.54%,156.8,"$583,100",5.02%,161.6,"$456,500",4.53%,153.2,"$335,500",4.57%,149.9,"$301,100",2.74%
Halton Region,,165.9,"$544,200",6.83%,163.2,"$605,200",6.04%,166.5,"$432,100",7.14%,161.8,"$320,300",8.37%,-,-,-
Burlington,,172.8,"$498,000",4.66%,170.6,"$583,100",3.65%,171.0,"$407,600",5.10%,171.1,"$343,600",9.26%,-,-,-
Halton Hills,,154.3,"$449,300",5.18%,153.9,"$492,400",4.62%,162.1,"$399,200",7.35%,154.3,"$278,200",6.41%,-,-,-
Milton,,158.1,"$443,400",8.21%,148.7,"$518,000",7.13%,160.6,"$401,000",8.15%,-,-,-,-,-,-
Oakville,,173.3,"$639,300",6.58%,172.0,"$712,900",6.37%,175.1,"$473,900",6.19%,162.0,"$357,900",8.87%,-,-,-
Peel Region,,151.2,"$413,600",3.77%,152.0,"$514,500",3.61%,153.1,"$390,700",3.31%,155.9,"$322,600",4.91%,138.5,"$238,300",2.67%
Brampton,,144.8,"$369,400",3.43%,145.2,"$424,400",2.47%,146.4,"$344,900",2.88%,139.1,"$258,400",4.59%,123.7,"$193,600",6.55%
Caledon,,145.0,"$516,600",4.24%,146.0,"$535,900",4.43%,155.9,"$385,400",3.79%,-,-,-,-,-,-
Mississauga,,156.7,"$438,000",4.19%,161.2,"$600,600",4.88%,160.7,"$439,200",3.81%,161.2,"$346,200",5.15%,141.2,"$247,200",2.39%
City of Toronto,,159.6,"$523,100",3.84%,162.8,"$705,800",4.90%,169.7,"$562,800",3.98%,156.3,"$378,000",3.99%,152.4,"$314,700",2.42%
York Region,,165.5,"$567,900",5.62%,165.5,"$650,200",5.15%,168.2,"$487,300",5.45%,153.3,"$390,800",3.58%,150.6,"$327,200",4.22%
Aurora,,161.4,"$519,700",5.98%,161.1,"$598,500",6.69%,163.5,"$423,200",4.54%,143.3,"$363,000",3.24%,153.3,"$318,500",9.58%
E. Gwillimbury,,147.0,"$475,200",3.30%,147.4,"$484,200",3.73%,158.2,"$334,900",5.47%,-,-,-,-,-,-
Georgina,,147.2,"$305,500",1.80%,152.3,"$313,700",2.01%,154.9,"$305,300",7.79%,-,-,-,-,-,-
King,,156.0,"$661,300",4.07%,157.4,"$664,200",4.52%,-,-,-,-,-,-,-,-,-
Markham,,168.8,"$581,500",4.46%,171.3,"$704,500",4.51%,170.7,"$508,400",4.60%,155.6,"$386,600",3.46%,155.3,"$359,100",2.85%
Newmarket,,152.8,"$450,600",7.68%,149.5,"$503,300",7.48%,157.1,"$370,200",6.22%,160.7,"$324,500",3.41%,154.1,"$259,500",7.24%
