Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,157.9,"$481,700 ",5.69%,158.4,"$589,000 ",6.31%,163.1,"$460,800 ",5.91%,154.6,"$338,600 ",5.39%,150.1,"$301,500 ",3.16%
Halton Region,166.9,"$547,500 ",7.19%,164.3,"$609,300 ",6.90%,167.4,"$434,500 ",7.17%,162.9,"$322,400 ",7.17%,-,-,-
Burlington,171.2,"$493,400 ",4.20%,168.5,"$575,900 ",3.37%,168.6,"$401,900 ",5.71%,172.7,"$346,800 ",7.60%,-,-,-
Halton Hills,154.9,"$451,000 ",6.02%,154.4,"$494,000 ",5.97%,163.5,"$402,700 ",7.42%,155.1,"$279,600 ",4.51%,-,-,-
Milton,160.1,"$449,000 ",8.25%,150.4,"$523,900 ",7.35%,162.8,"$406,500 ",8.10%,-,-,-,-,-,-
Oakville,174.4,"$643,400 ",7.19%,173.3,"$718,200 ",7.11%,174.8,"$473,100 ",5.81%,162.8,"$359,600 ",8.10%,-,-,-
Peel Region,151.2,"$413,600 ",4.06%,152.6,"$516,600 ",4.31%,153.7,"$392,200 ",4.27%,156.3,"$323,400 ",4.62%,135.1,"$232,500 ",0.75%
Brampton,144.9,"$369,600 ",4.32%,145.2,"$424,400 ",3.57%,146.3,"$344,600 ",3.98%,141.1,"$262,100 ",5.38%,121.8,"$190,600 ",2.35%
Caledon,145.3,"$517,700 ",2.90%,146.4,"$537,400 ",3.24%,155,"$383,200 ",2.38%,-,-,-,-,-,-
Mississauga,156.6,"$437,700 ",4.12%,162.5,"$605,500 ",5.31%,162.1,"$443,000 ",4.78%,161,"$345,800 ",4.41%,137.5,"$240,800 ",0.73%
City of Toronto,161.8,"$530,300 ",5.54%,165.7,"$718,300 ",7.11%,171.8,"$569,700 ",5.72%,159.5,"$385,700 ",6.48%,153.7,"$317,400 ",3.50%
York Region,166.8,"$572,400 ",6.58%,167.2,"$656,900 ",6.36%,170.4,"$493,600 ",7.17%,153.9,"$392,300 ",3.50%,149.3,"$324,400 ",3.90%
Aurora,161.5,"$520,000 ",6.81%,161,"$598,100 ",7.62%,164.6,"$426,000 ",6.74%,141.6,"$358,700 ",1.80%,150.3,"$312,300 ",9.47%
E. Gwillimbury,148.7,"$480,700 ",5.39%,149.5,"$491,100 ",6.33%,159.1,"$336,800 ",5.57%,-,-,-,-,-,-
Georgina,148.4,"$308,000 ",7.38%,153.7,"$316,600 ",7.71%,158.1,"$311,600 ",10.87%,-,-,-,-,-,-
King,158.3,"$671,100 ",5.18%,159.6,"$673,400 ",5.28%,-,-,-,-,-,-,-,-,-
Markham,171.3,"$590,100 ",6.07%,175.6,"$722,100 ",6.75%,174,"$518,200 ",7.08%,156.3,"$388,300 ",2.83%,153.5,"$355,000 ",2.61%
Newmarket,153.2,"$451,800 ",8.27%,150.1,"$505,300 ",8.38%,157.7,"$371,700 ",7.21%,161.3,"$325,700 ",3.00%,152.4,"$256,700 ",7.63%
Richmond Hill,173.3,"$627,500 ",6.78%,181.4,"$768,500 ",6.58%,179.6,"$544,100 ",8.06%,145.2,"$410,500 ",4.24%,147.6,"$307,400 ",3.94%
Vaughan,166.2,"$600,800 ",6.74%,160,"$665,800 ",4.71%,170.9,"$520,300 ",7.48%,161.7,"$441,800 ",6.80%,145.4,"$322,700 ",4.45%
Whitchurch-Stouffville,163.8,"$617,600 ",5.27%,164.6,"$631,600 ",5.72%,145.1,"$398,600 ",3.64%,-,-,-,-,-,-
Durham Region,140.1,"$329,700 ",6.95%,139.7,"$364,300 ",7.05%,144.3,"$289,000 ",6.97%,130.2,"$214,000 ",5.77%,132.4,"$236,900 ",4.75%
Ajax,147.2,"$363,800 ",7.37%,147.3,"$394,500 ",6.43%,153.1,"$329,300 ",6.91%,133.6,"$244,200 ",5.61%,129,"$219,000 ",5.22%
Brock,124.5,"$236,000 ",8.17%,125.1,"$237,700 ",8.59%,134.5,"$214,400 ",3.86%,-,-,-,-,-,-
Clarington,136.7,"$289,200 ",7.30%,133.3,"$320,400 ",6.98%,138.3,"$264,100 ",5.17%,149.4,"$267,400 ",9.85%,134,"$189,600 ",7.72%
Oshawa,134.2,"$256,800 ",8.75%,133.6,"$284,500 ",8.79%,138.6,"$232,100 ",9.13%,115.8,"$154,900 ",7.62%,133.9,"$160,200 ",0.15%
Pickering,146.2,"$395,500 ",6.17%,148.1,"$463,300 ",6.47%,149.5,"$348,500 ",5.50%,139.3,"$251,300 ",4.82%,134.7,"$263,700 ",6.48%
Scugog,140.2,"$363,800 ",5.81%,144.5,"$372,100 ",6.17%,126.7,"$265,200 ",3.43%,-,-,-,-,-,-
Uxbridge,135.6,"$414,600 ",9.80%,137.1,"$424,600 ",10.39%,129.5,"$317,800 ",4.69%,-,-,-,-,-,-
Whitby,140.5,"$366,600 ",4.93%,141.2,"$405,600 ",6.01%,143.6,"$316,800 ",7.16%,131.3,"$240,700 ",2.18%,130.5,"$254,600 ",0.69%
