Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,155.8,"$475,300 ",2.91%,156.3,"$581,200 ",3.37%,161.2,"$455,400 ",3.73%,152.7,"$334,400 ",3.39%,148.9,"$299,000 ",0.81%
Halton Region,164.2,"$538,600 ",4.39%,162.2,"$601,500 ",4.58%,163.6,"$424,600 ",3.94%,163.5,"$323,600 ",2.57%,-,-,-
Burlington,173.1,"$498,900 ",4.85%,171.8,"$587,200 ",5.01%,166.4,"$396,600 ",4.07%,172.9,"$347,200 ",3.84%,-,-,-
Halton Hills,153.5,"$446,900 ",1.52%,152.6,"$488,200 ",1.26%,159.1,"$391,800 ",2.38%,157.8,"$284,500 ",0.90%,-,-,-
Milton,154.1,"$432,200 ",2.26%,145.6,"$507,200 ",1.46%,156.9,"$391,700 ",2.48%,-,-,-,-,-,-
Oakville,172.8,"$637,500 ",6.27%,171.8,"$712,000 ",6.71%,174.2,"$471,500 ",6.41%,162.8,"$359,600 ",2.78%,-,-,-
Peel Region,150.9,"$412,800 ",3.50%,151.9,"$514,200 ",3.19%,153.2,"$390,900 ",3.51%,155.7,"$322,200 ",4.85%,138,"$237,500 ",2.45%
Brampton,144.7,"$369,100 ",3.80%,145.5,"$425,200 ",3.34%,146.5,"$345,100 ",3.68%,141.7,"$263,200 ",7.92%,122.7,"$192,000 ",3.28%
Caledon,145.6,"$518,800 ",2.90%,146.5,"$537,700 ",2.38%,155.3,"$384,000 ",5.00%,-,-,-,-,-,-
Mississauga,156,"$436,000 ",3.45%,160.4,"$597,600 ",3.22%,160.7,"$439,200 ",3.41%,159.9,"$343,400 ",4.03%,140.7,"$246,400 ",2.63%
City of Toronto,159.3,"$522,100 ",1.79%,162.7,"$705,300 ",2.13%,170.4,"$565,100 ",3.59%,155.7,"$376,500 ",1.17%,151.6,"$313,000 ",0.53%
York Region,163.6,"$561,400 ",3.35%,164.7,"$647,000 ",3.85%,166.7,"$482,900 ",3.54%,153.8,"$392,000 ",4.63%,149,"$323,700 ",-0.53%
Aurora,155.9,"$502,000 ",5.55%,154.7,"$574,700 ",6.18%,158.9,"$411,300 ",4.88%,142.1,"$359,900 ",5.18%,146,"$303,400 ",1.67%
E. Gwillimbury,147.6,"$477,200 ",10.07%,148.3,"$487,100 ",10.75%,153.9,"$325,800 ",7.17%,-,-,-,-,-,-
Georgina,155,"$321,700 ",11.35%,158.9,"$327,300 ",10.58%,156.6,"$308,600 ",11.70%,-,-,-,-,-,-
King,154.5,"$655,000 ",1.78%,155.8,"$657,400 ",2.03%,-,-,-,-,-,-,-,-,-
Markham,167.7,"$577,700 ",1.82%,171.5,"$705,300 ",2.51%,170,"$506,300 ",2.84%,157.9,"$392,300 ",5.34%,151,"$349,200 ",-4.73%
Newmarket,149,"$439,400 ",4.49%,146.6,"$493,500 ",4.64%,154.8,"$364,800 ",4.45%,159.2,"$321,400 ",5.29%,149.8,"$252,300 ",-0.47%
Richmond Hill,171.5,"$621,000 ",3.13%,180,"$762,600 ",3.87%,177.4,"$537,400 ",3.99%,144.6,"$408,900 ",1.90%,147,"$306,200 ",-1.61%
Vaughan,162.1,"$585,900 ",3.71%,158.6,"$660,000 ",3.39%,165.8,"$504,700 ",4.08%,157.3,"$429,800 ",5.57%,148.5,"$329,500 ",5.62%
