,Composite,,,Single-Family Detached,,,Single-Family Attached,,,Townhouse,,,Apartment,,
,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,151.9,"$463,400",2.91%,152.0,"$565,200",3.33%,157.2,"$444,100",3.76%,150.1,"$328,800",4.89%,145.7,"$292,600",0.76%
City of Toronto,155.2,"$508,600",1.50%,157.5,"$682,800",1.55%,165.5,"$548,900",3.05%,152.9,"$369,800",3.38%,148.9,"$307,500",0.54%
Toronto W01,159.2,"$649,700",-2.57%,154.9,"$798,400",-6.01%,165.1,"$637,000",-3.28%,216.5,"$445,800",10.74%,141.6,"$330,400",-2.07%
Toronto W02,175.6,"$633,400",3.05%,172.3,"$707,200",0.94%,197.8,"$605,900",3.72%,131.3,"$362,000",2.82%,118.2,"$491,300",2.25%
Toronto W03,156.2,"$403,400",3.17%,157.0,"$427,000",3.63%,163.0,"$417,600",4.49%,-,-,-,126.7,"$235,000",-6.77%
Toronto W04,138.0,"$361,400",1.85%,144.3,"$455,400",2.70%,141.4,"$411,700",4.35%,144.3,"$351,100",8.25%,123.2,"$181,500",-2.07%
Toronto W05,137.8,"$328,100",7.07%,144.8,"$482,700",6.39%,135.4,"$396,000",4.72%,129.8,"$213,700",5.53%,134.7,"$176,900",14.15%
Toronto W06,143.2,"$415,700",2.80%,158.9,"$504,300",0.89%,140.2,"$425,100",-4.43%,164.8,"$485,500",16.47%,128.1,"$316,900",4.83%
Toronto W07,143.7,"$612,400",-0.07%,150.5,"$650,400",-1.51%,139.7,"$572,800",-6.12%,136.6,"$502,100",14.98%,105.1,"$426,200",0.10%
Toronto W08,138.0,"$561,400",0.36%,145.8,"$762,600",-2.08%,147.4,"$553,700",-2.71%,148.4,"$362,800",20.16%,127.2,"$256,100",1.03%
Toronto W09,138.9,"$357,000",4.04%,154.1,"$576,500",2.53%,138.9,"$393,200",4.67%,149.9,"$380,200",1.28%,115.4,"$148,000",6.26%
Toronto W10,134.0,"$311,000",3.72%,143.1,"$421,100",7.67%,142.0,"$385,800",7.49%,113.7,"$204,800",-9.69%,124.4,"$189,900",-0.24%
Toronto C01,176.7,"$438,300",-0.62%,193.1,"$681,600",-0.57%,196.1,"$680,400",0.67%,164.0,"$492,200",0.18%,173.9,"$361,900",-0.80%
Toronto C02,164.9,"$783,000",0.49%,154.7,"$1,226,200",-3.43%,170.1,"$895,000",1.67%,160.0,"$748,200",-6.65%,162.8,"$454,000",5.03%
Toronto C03,167.3,"$861,100",4.24%,165.1,"$995,000",4.89%,175.1,"$648,200",7.42%,-,-,-,162.7,"$429,800",-0.67%
Toronto C04,153.7,"$952,300",0.13%,157.1,"$1,098,200",1.95%,155.4,"$742,900",0.65%,142.4,"$532,000",-5.38%,139.6,"$331,900",-7.49%
Toronto C06,162.5,"$643,000",2.91%,165.1,"$706,700",2.55%,149.6,"$550,200",3.10%,132.4,"$361,300",-2.58%,160.5,"$354,900",4.15%
Toronto C07,152.9,"$525,100",-0.97%,169.2,"$774,600",1.26%,153.2,"$544,500",-0.13%,126.1,"$370,200",-1.02%,144.2,"$339,700",-3.48%
Toronto C08,162.9,"$419,400",-0.55%,165.7,"$515,000",7.74%,170.5,"$705,700",9.72%,171.7,"$520,700",-7.74%,161.8,"$356,900",-1.76%
Toronto C09,124.5,"$924,600",-8.25%,117.1,"$1,471,000",-9.92%,135.6,"$1,103,400",-8.13%,145.2,"$749,500",-9.93%,128.9,"$427,100",-6.66%
Toronto C10,169.9,"$662,800",2.91%,154.7,"$949,300",3.00%,161.7,"$798,600",0.75%,202.6,"$464,600",-7.40%,174.4,"$417,900",4.49%
Toronto C11,133.9,"$479,800",-1.03%,144.0,"$964,100",-7.87%,161.8,"$709,900",-2.94%,113.1,"$180,400",2.35%,122.7,"$174,600",3.98%
Toronto C12,150.2,"$1,287,200",0.67%,145.2,"$1,560,500",0.00%,161.8,"$699,100",3.39%,154.4,"$523,000",14.71%,162.7,"$511,700",-1.93%
Toronto C13,148.8,"$549,000",2.20%,160.6,"$860,500",4.02%,153.6,"$492,800",1.72%,143.0,"$407,200",-8.63%,136.4,"$269,900",0.22%
Toronto C14,167.2,"$568,200",2.58%,180.1,"$977,100",0.45%,175.5,"$856,200",-2.12%,207.3,"$700,500",14.91%,159.4,"$400,900",2.25%
