Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,285.2,"865,200",11.06%,273.9,"1,011,300",9.56%,285.7,"803,200",10.65%,290.2,"640,700",10.89%,296.8,"592,400",13.41%,2020,03
Halton Region,300.0,"967,400",14.59%,296.1,"1,092,100",14.41%,305.2,"780,800",12.50%,332.7,"613,700",13.94%,281.5,"520,600",16.47%,2020,03
Burlington,312.9,"850,000",19.02%,309.3,"1,047,100",20.82%,328.3,"787,600",18.26%,343.0,"630,400",13.99%,283.0,"465,800",17.14%,2020,03
Halton Hills,280.4,"829,900",11.14%,275.9,"897,700",10.58%,291.4,"660,300",12.47%,316.6,"508,800",14.46%,272.6,"551,200",19.04%,2020,03
Milton,282.8,"838,300",11.78%,277.6,"993,400",10.91%,293.9,"710,300",11.20%,298.3,"493,900",14.95%,278.9,"568,100",16.26%,2020,03
Oakville,300.9,"1,100,700",12.82%,299.9,"1,267,700",12.58%,306.9,"856,900",10.95%,322.2,"697,200",13.33%,281.2,"540,200",15.77%,2020,03
Peel Region,284.3,"806,100",13.04%,274.3,"968,500",11.55%,283.7,"726,300",12.94%,279.4,"599,900",12.84%,304.7,"522,400",17.15%,2020,03
Brampton,284.3,"720,900",12.86%,276.8,"808,400",12.20%,287.8,"675,000",13.58%,278.4,"509,000",12.90%,283.6,"423,300",16.28%,2020,03
Caledon,237.2,"871,100",10.27%,237.5,"902,800",10.36%,270.9,"669,200",11.67%,-,-,-,248.3,"603,600",6.34%,2020,03
Mississauga,288.1,"853,000",13.38%,277.8,"1,109,600",10.85%,278.4,"767,800",12.03%,279.8,"628,900",12.87%,308.3,"541,600",17.31%,2020,03
City of Toronto,294.6,"955,200",10.59%,275.7,"1,209,800",7.99%,293.6,"978,700",8.42%,284.3,"676,800",6.68%,304.6,"625,600",12.86%,2020,03
York Region,269.3,"908,600",7.29%,270.0,"1,027,500",6.26%,272.5,"788,400",8.18%,254.2,"652,800",8.31%,250.3,"549,000",11.49%,2020,03
Aurora,269.0,"890,200",5.20%,264.8,"1,000,300",3.44%,277.0,"714,400",7.78%,260.3,"712,400",11.05%,261.0,"545,600",9.07%,2020,03
East Gwillimbury,230.0,"785,900",1.95%,233.7,"832,900",1.56%,246.9,"516,400",6.47%,-,-,-,-,-,-,2020,03
Georgina,245.9,"468,500",4.19%,251.6,"474,400",3.88%,253.0,"498,800",8.68%,-,-,-,-,-,-,2020,03
