Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,290.1,"880,400",10.01%,280.7,"1,036,600",9.86%,291.5,"819,100",10.63%,302.6,"664,800",12.37%,296.1,"593,500",9.34%,2020,07
Halton Region,298.7,"968,800",10.67%,298.9,"1,102,400",10.42%,306.7,"784,600",10.72%,325.4,"625,700",14.06%,277.5,"565,300",12.44%,2020,07
Burlington,307.5,"852,800",11.09%,305.6,"1,034,600",10.25%,321.3,"770,800",10.45%,334.9,"628,000",14.22%,285.3,"562,100",12.95%,2020,07
Halton Hills,286.2,"851,500",12.15%,285.9,"930,300",11.90%,296.7,"672,300",11.79%,289.3,"494,600",16.37%,261.0,"565,100",13.04%,2020,07
Milton,285.5,"845,900",10.44%,284.7,"1,018,000",11.17%,297.4,"718,800",10.48%,302.8,"521,100",16.37%,289.8,"554,700",12.98%,2020,07
Oakville,300.1,"1,102,500",10.29%,305.1,"1,289,700",10.66%,311.7,"870,400",11.68%,321.7,"724,700",13.88%,261.0,"534,600",9.94%,2020,07
Peel Region,287.8,"816,200",10.86%,275.8,"976,800",9.62%,286.7,"732,600",11.08%,296.7,"626,800",12.86%,306.8,"526,000",13.55%,2020,07
Brampton,288.5,"735,400",11.35%,278.3,"820,200",10.44%,291.0,"679,600",11.75%,301.9,"542,600",14.36%,296.7,"442,900",16.58%,2020,07
Caledon,244.3,"897,100",11.10%,246.1,"935,500",12.17%,279.0,"689,200",9.93%,-,-,-,254.9,"619,700",8.65%,2020,07
Mississauga,291.1,"859,800",10.60%,278.5,"1,112,400",8.20%,280.0,"772,200",9.80%,294.7,"651,300",12.31%,308.5,"541,900",13.05%,2020,07
City of Toronto,298.5,"967,900",9.06%,285.1,"1,251,000",10.29%,302.6,"1,008,600",10.28%,305.2,"727,200",11.55%,302.3,"622,700",7.93%,2020,07
York Region,279.3,"943,100",10.05%,280.9,"1,068,200",9.30%,280.9,"812,700",9.86%,263.7,"684,400",10.71%,258.4,"576,500",12.40%,2020,07
Aurora,274.3,"905,200",10.07%,273.1,"1,026,100",9.20%,283.7,"731,600",10.91%,266.9,"730,400",13.09%,238.7,"547,300",9.05%,2020,07
East Gwillimbury,246.3,"841,600",9.37%,250.3,"892,100",8.92%,259.5,"542,800",12.78%,-,-,-,-,-,-,2020,07
Georgina,269.8,"513,600",11.95%,276.2,"520,200",11.73%,267.9,"528,100",10.93%,-,-,-,-,-,-,2020,07
