Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,297.3,"902,500",10.56%,293.6,"1,084,700",13.27%,304.4,"855,200",13.12%,310.6,"682,400",12.82%,289.1,"579,500",4.07%,2020,11
City of Toronto,295.5,"958,200",5.95%,289.2,"1,269,000",10.09%,305.3,"1,017,600",8.88%,307.2,"732,000",10.94%,293.3,"604,100",2.55%,2020,11
Toronto W01,279.2,"1,125,200",6.16%,270.7,"1,412,600",7.98%,289.9,"1,117,900",7.49%,284.8,"602,800",7.11%,279.2,"631,200",5.04%,2020,11
Toronto W02,331.5,"1,178,300",10.13%,307.8,"1,302,000",8.57%,348.5,"1,068,200",9.25%,374.2,"721,800",11.01%,327.9,"703,900",11.45%,2020,11
Toronto W03,327.4,"843,900",10.42%,332.4,"903,700",11.02%,323.1,"827,600",10.27%,263.0,"637,500",13.75%,318.3,"543,900",7.64%,2020,11
Toronto W04,315.0,"807,700",13.60%,289.8,"912,700",9.52%,277.6,"802,700",8.91%,264.9,"620,100",8.61%,356.4,"525,800",19.00%,2020,11
Toronto W05,286.2,"679,600",7.80%,285.7,"947,500",8.02%,261.6,"763,800",7.88%,284.1,"515,900",11.98%,312.8,"411,000",5.46%,2020,11
Toronto W06,253.7,"739,800",11.17%,320.5,"1,023,400",12.22%,259.2,"785,500",9.78%,324.8,"963,100",9.58%,213.0,"534,300",7.85%,2020,11
Toronto W07,269.3,"1,152,600",10.60%,285.8,"1,238,700",10.86%,248.6,"1,019,300",7.67%,225.1,"827,500",10.89%,175.3,"710,800",6.70%,2020,11
Toronto W08,252.2,"1,005,500",7.50%,245.3,"1,282,200",11.91%,240.9,"892,400",9.60%,313.9,"755,000",21.57%,251.7,"524,100",2.73%,2020,11
Toronto W09,281.4,"708,300",9.66%,273.2,"1,018,900",13.55%,250.2,"719,400",16.75%,306.4,"797,200",6.72%,289.1,"370,700",6.76%,2020,11
Toronto W10,312.8,"710,400",13.33%,296.9,"890,700",12.89%,302.7,"774,600",12.70%,363.2,"653,800",20.70%,320.2,"444,700",13.06%,2020,11
Toronto C01,314.0,"775,800",-1.91%,324.1,"1,227,400",0.87%,316.5,"1,107,900",5.22%,307.5,"876,500",8.77%,312.9,"651,400",-2.98%,2020,11
Toronto C02,295.8,"1,423,300",4.01%,263.9,"2,108,500",8.78%,291.9,"1,530,900",5.68%,313.3,"1,575,400",9.32%,298.4,"850,100",1.81%,2020,11
Toronto C03,336.2,"1,755,900",10.09%,315.6,"1,939,500",11.36%,330.2,"1,224,400",10.29%,-,-,-,372.3,"973,900",8.57%,2020,11
Toronto C04,258.4,"1,608,400",6.12%,260.9,"1,838,200",4.61%,264.6,"1,238,800",6.61%,-,-,-,242.5,"648,700",9.53%,2020,11
Toronto C06,287.5,"1,119,600",-0.86%,276.4,"1,180,500",6.14%,235.0,"869,400",2.89%,282.8,"758,500",11.16%,299.9,"663,200",-5.21%,2020,11
Toronto C07,276.6,"956,900",3.95%,306.2,"1,400,800",6.06%,217.2,"777,300",5.64%,284.7,"802,400",11.69%,260.4,"635,900",1.09%,2020,11
Toronto C08,281.3,"735,600",-3.23%,308.5,"1,806,400",4.90%,312.1,"1,488,900",8.90%,308.6,"798,100",6.89%,277.8,"600,500",-4.50%,2020,11
Toronto C09,210.9,"1,500,600",6.41%,155.8,"1,957,200",8.42%,167.7,"1,364,600",7.02%,286.8,"1,693,800",7.34%,247.3,"819,300",6.87%,2020,11
Toronto C10,295.7,"1,168,800",1.86%,278.2,"1,717,600",2.35%,269.3,"1,330,500",4.50%,282.2,"945,900",10.54%,305.0,"728,300",0.79%,2020,11
Toronto C11,304.2,"1,077,100",8.03%,231.7,"1,578,300",6.87%,269.9,"1,252,300",8.13%,270.7,"468,900",16.28%,359.3,"521,700",8.85%,2020,11
Toronto C12,239.7,"2,045,100",8.86%,215.3,"2,307,500",7.76%,295.8,"1,238,000",15.32%,229.5,"918,200",10.87%,293.9,"921,500",5.64%,2020,11
Toronto C13,281.3,"1,022,100",7.33%,270.9,"1,444,700",12.17%,253.0,"807,200",14.22%,273.6,"791,000",12.73%,291.2,"594,900",3.52%,2020,11
