Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,299.6,"909,500",11.05%,298.3,"1,102,100",15.00%,308.4,"866,400",14.18%,311.6,"684,600",13.19%,286.6,"574,400",2.36%,2020,12
Halton Region,324.0,"1,050,800",15.59%,330.6,"1,219,400",17.95%,343.2,"878,000",18.02%,341.7,"657,100",16.22%,278.8,"568,000",8.65%,2020,12
Burlington,336.0,"931,800",14.79%,348.2,"1,178,800",18.40%,366.6,"879,500",14.13%,351.1,"658,400",15.84%,285.5,"562,500",8.18%,2020,12
Halton Hills,315.2,"937,800",18.85%,315.6,"1,026,900",18.91%,336.9,"763,400",21.01%,306.9,"524,700",20.16%,259.5,"561,800",8.85%,2020,12
Milton,314.5,"931,800",17.26%,316.3,"1,131,000",19.77%,335.5,"810,800",19.95%,320.7,"552,000",18.73%,291.4,"557,800",8.37%,2020,12
Oakville,318.3,"1,169,300",14.46%,326.8,"1,381,400",16.17%,337.2,"941,600",16.72%,336.8,"758,700",16.54%,263.2,"539,100",7.69%,2020,12
Peel Region,299.7,"850,000",12.00%,292.7,"1,036,600",13.98%,306.1,"782,200",15.25%,303.8,"641,800",12.64%,301.8,"517,500",5.23%,2020,12
Brampton,306.3,"780,800",14.68%,296.6,"874,100",14.65%,312.4,"729,600",16.05%,315.4,"566,900",15.83%,295.4,"440,900",9.90%,2020,12
Caledon,266.6,"979,000",18.23%,269.1,"1,022,900",18.91%,298.0,"736,200",16.18%,-,-,-,247.3,"601,200",6.64%,2020,12
Mississauga,296.9,"876,900",9.32%,292.3,"1,167,500",12.25%,295.7,"815,500",13.43%,299.2,"661,300",11.35%,303.0,"532,300",4.52%,2020,12
City of Toronto,293.7,"952,400",4.78%,289.7,"1,271,200",9.82%,303.9,"1,012,900",8.30%,306.9,"731,300",10.40%,289.9,"597,100",0.76%,2020,12
York Region,289.5,"978,700",12.56%,295.2,"1,124,200",13.89%,296.3,"856,200",13.66%,270.4,"701,800",10.28%,253.2,"564,900",6.84%,2020,12
Aurora,291.3,"961,300",14.24%,292.9,"1,100,500",15.59%,302.3,"779,600",14.64%,275.1,"752,900",11.83%,246.9,"566,200",9.64%,2020,12
