Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,305.6,"927,700",11.94%,307.1,"1,134,600",16.64%,316.3,"888,600",15.61%,315.0,"692,000",12.86%,287.1,"575,500",1.70%,2021,01
Halton Region,334.7,"1,085,500",18.27%,345.0,"1,272,500",21.78%,355.6,"909,700",22.03%,346.8,"666,900",16.61%,280.4,"571,300",7.56%,2021,01
Burlington,345.9,"959,300",17.57%,362.9,"1,228,500",23.02%,379.1,"909,500",20.39%,356.4,"668,300",16.20%,287.5,"566,500",7.36%,2021,01
Halton Hills,326.5,"971,400",23.16%,327.6,"1,066,000",23.76%,350.0,"793,000",26.08%,311.2,"532,100",20.25%,261.8,"566,800",7.30%,2021,01
Milton,325.5,"964,400",20.87%,329.3,"1,177,400",24.12%,349.1,"843,700",24.59%,324.5,"558,500",18.86%,292.4,"559,700",7.03%,2021,01
Oakville,329.7,"1,211,200",16.42%,342.8,"1,449,100",19.40%,347.7,"970,900",18.79%,342.1,"770,600",17.08%,264.3,"541,300",6.23%,2021,01
Peel Region,306.2,"868,400",12.91%,301.4,"1,067,400",15.61%,314.4,"803,400",16.40%,306.6,"647,700",12.68%,301.8,"517,500",4.21%,2021,01
Brampton,314.3,"801,200",16.11%,305.6,"900,600",16.46%,321.4,"750,600",17.43%,318.1,"571,700",15.63%,297.1,"443,500",11.19%,2021,01
Caledon,277.3,"1,018,300",22.70%,279.8,"1,063,600",23.91%,307.9,"760,600",17.92%,-,-,-,245.5,"596,800",5.50%,2021,01
Mississauga,301.5,"890,500",9.52%,300.0,"1,198,200",13.16%,302.7,"834,800",14.05%,301.8,"667,000",11.41%,302.6,"531,600",3.14%,2021,01
City of Toronto,296.4,"961,100",4.99%,296.5,"1,301,000",11.84%,308.6,"1,028,600",9.59%,307.7,"733,200",9.31%,290.1,"597,500",-,2021,01
York Region,294.9,"997,000",13.34%,301.7,"1,148,900",15.20%,302.9,"875,300",14.78%,272.6,"707,500",10.14%,254.7,"568,200",5.86%,2021,01
Aurora,296.9,"979,800",15.30%,300.9,"1,130,500",17.36%,307.2,"792,200",16.14%,275.7,"754,500",9.27%,247.6,"567,800",7.84%,2021,01
East Gwillimbury,284.8,"973,100",25.24%,286.4,"1,020,700",23.82%,305.9,"639,900",29.34%,-,-,-,-,-,-,2021,01
Georgina,297.5,"566,300",21.93%,303.9,"572,400",21.37%,306.3,"603,800",25.95%,-,-,-,-,-,-,2021,01
