Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,268.8,"$821,400",28.98%,280.7,"$1,049,500",28.76%,280.1,"$789,900",26.23%,258.8,"$580,200",30.25%,231.4,"$464,600",31.85%,2017,05
Halton Region,279.5,"$957,700",28.39%,280.8,"$1,070,600",28.10%,280.1,"$744,800",28.07%,274.2,"$555,600",30.01%,-,-,-,2017,05
Burlington,270.3,"$821,800",26.49%,270.3,"$966,000",26.01%,265.4,"$661,400",24.08%,275.2,"$565,400",29.93%,-,-,-,2017,05
Halton Hills,256.8,"$795,000",24.84%,252.9,"$847,900",24.15%,264.0,"$661,400",26.68%,275.4,"$490,000",28.63%,-,-,-,2017,05
Milton,262.5,"$787,800",27.37%,260.5,"$911,800",27.20%,271.2,"$684,500",27.98%,252.7,"$443,300",29.59%,-,-,-,2017,05
Oakville,296.9,"$1,135,600",29.09%,297.8,"$1,262,600",28.64%,299.7,"$837,100",29.07%,277.0,"$660,100",29.80%,-,-,-,2017,05
Peel Region,256.9,"$728,800",29.88%,260.8,"$918,200",28.85%,262.3,"$671,600",28.39%,257.3,"$552,900",32.49%,227.9,"$394,000",33.27%,2017,05
Brampton,258.7,"$657,200",32.26%,256.6,"$748,500",31.79%,261.2,"$612,800",30.99%,253.4,"$465,200",35.58%,201.0,"$314,700",34.09%,2017,05
Caledon,238.2,"$850,300",32.48%,240.2,"$882,600",33.52%,261.7,"$646,500",30.52%,-,-,-,-,-,-,2017,05
Mississauga,257.1,"$763,100",27.91%,269.8,"$1,077,600",24.79%,263.9,"$727,800",25.07%,258.5,"$581,000",31.62%,232.3,"$408,900",32.97%,2017,05
City of Toronto,255.6,"$830,300",26.10%,280.1,"$1,228,500",24.82%,278.5,"$928,200",22.10%,256.0,"$628,100",27.05%,231.8,"$477,600",31.03%,2017,05
York Region,307.6,"$1,052,000",29.19%,319.3,"$1,244,100",30.17%,311.5,"$901,600",26.37%,246.3,"$631,700",18.87%,232.3,"$511,000",33.97%,2017,05
Aurora,306.0,"$982,100",33.04%,312.4,"$1,161,200",34.02%,304.7,"$787,800",29.83%,230.0,"$584,100",29.00%,230.4,"$477,100",27.93%,2017,05
East Gwillimbury,278.2,"$891,400",35.77%,280.2,"$921,900",37.42%,238.8,"$549,100",22.15%,-,-,-,-,-,-,2017,05
Georgina,288.0,"$598,000",42.08%,301.7,"$624,300",42.58%,295.9,"$583,400",35.80%,-,-,-,-,-,-,2017,05
King,275.2,"$1,151,900",30.12%,276.1,"$1,148,600",29.87%,284.3,"$665,800",28.64%,-,-,-,-,-,-,2017,05
Markham,318.7,"$1,104,800",28.25%,343.1,"$1,411,500",29.28%,319.4,"$955,200",25.25%,245.1,"$623,000",15.34%,242.6,"$587,600",40.15%,2017,05
