Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,168.2,"$513,100 ",7.82%,169.7,"$631,000 ",8.64%,174.9,"$494,100 ",8.30%,163.8,"$358,800 ",7.55%,156.6,"$314,500 ",4.54%,2014,08
Halton Region,177.0,"$580,600 ",7.86%,174.0,"$645,200 ",7.74%,177.4,"$460,400 ",7.38%,172.3,"$341,100 ",11.96%,-,-,-,2014,08
Burlington,182.7,"$526,600 ",7.34%,179.2,"$612,500 ",5.91%,179.8,"$428,600 ",8.05%,182.6,"$366,700 ",11.68%,-,-,-,2014,08
Halton Hills,161.4,"$469,900 ",5.56%,160.8,"$514,400 ",5.37%,170.7,"$420,400 ",5.57%,160.2,"$288,800 ",7.52%,-,-,-,2014,08
Milton,167.3,"$469,200 ",6.42%,156.4,"$544,800 ",6.68%,170.2,"$424,900 ",6.37%,-,-,-,-,-,-,2014,08
Oakville,186.2,"$686,900 ",8.76%,184.7,"$765,500 ",8.33%,188.6,"$510,500 ",8.45%,172.7,"$381,500 ",13.02%,-,-,-,2014,08
Peel Region,161.0,"$440,400 ",7.05%,162.3,"$549,400 ",7.13%,164.1,"$418,700 ",7.25%,164.6,"$340,600 ",6.13%,144.9,"$249,400 ",5.92%,2014,08
Brampton,154.2,"$393,300 ",7.08%,154.4,"$451,200 ",6.56%,155.9,"$367,200 ",6.78%,148.3,"$275,500 ",7.46%,133.4,"$208,800 ",8.63%,2014,08
Caledon,149.3,"$532,000 ",4.63%,149.4,"$548,400 ",4.33%,164.8,"$407,500 ",7.08%,-,-,-,-,-,-,2014,08
Mississauga,167.4,"$467,900 ",7.31%,174.2,"$649,100 ",8.33%,173.7,"$474,700 ",7.96%,169.8,"$364,700 ",5.93%,147,"$257,400 ",5.53%,2014,08
City of Toronto,171.3,"$561,400 ",7.40%,177.8,"$770,800 ",9.89%,184.3,"$611,200 ",8.73%,168.4,"$407,300 ",8.02%,159.3,"$328,900 ",3.98%,2014,08
York Region,180.5,"$619,400 ",9.86%,181.1,"$711,500 ",9.29%,185.1,"$536,200 ",10.11%,163.8,"$417,500 ",6.36%,155.9,"$338,700 ",5.69%,2014,08
Aurora,172.5,"$555,400 ",9.11%,171.7,"$637,900 ",9.22%,176,"$455,500 ",8.78%,148.5,"$376,100 ",3.48%,151.8,"$315,400 ",6.75%,2014,08
