Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,149.8,"$457,000 ",3.17%,149.7,"$556,700 ",3.60%,154.9,"$437,600 ",3.96%,148.6,"$325,500 ",4.80%,144.5,"$290,200 ",1.26%,2013,02
Halton Region,157.9,"$518,000 ",3.88%,155.6,"$577,000 ",2.84%,158.2,"$410,600 ",4.63%,158.4,"$313,500 ",4.76%,-,-,-,2013,02
Burlington,166.9,"$481,000 ",6.04%,165.8,"$566,700 ",5.47%,161.2,"$384,200 ",6.33%,167.3,"$336,000 ",2.76%,-,-,-,2013,02
Halton Hills,147.9,"$430,600 ",3.57%,147.1,"$470,600 ",2.15%,154.3,"$380,000 ",4.33%,153.4,"$276,600 ",4.50%,-,-,-,2013,02
Milton,149.7,"$419,900 ",4.03%,140.5,"$489,400 ",1.59%,152.3,"$380,200 ",4.32%,-,-,-,-,-,-,2013,02
Oakville,165.3,"$609,800 ",3.12%,164.2,"$680,500 ",2.75%,167.6,"$453,600 ",4.68%,157.9,"$348,800 ",5.62%,-,-,-,2013,02
Peel Region,145.7,"$398,500 ",3.85%,146.7,"$496,600 ",4.41%,148,"$377,700 ",3.79%,151.2,"$312,900 ",5.73%,133.2,"$229,200 ",2.86%,2013,02
Brampton,139.5,"$355,800 ",3.41%,140.8,"$411,500 ",4.45%,141.6,"$333,500 ",2.98%,136.1,"$252,800 ",6.41%,115.8,"$181,200 ",1.85%,2013,02
Caledon,137.0,"$488,100 ",-0.22%,137.4,"$504,300 ",0.15%,149,"$368,400 ",3.69%,-,-,-,-,-,-,2013,02
Mississauga,151.0,"$422,100 ",4.50%,155.3,"$578,600 ",5.22%,155.2,"$424,100 ",4.86%,155.8,"$334,600 ",5.70%,136.1,"$238,300 ",3.18%,2013,02
City of Toronto,153.1,"$501,800 ",2.07%,155.0,"$671,900 ",2.24%,162.7,"$539,600 ",3.24%,152.8,"$369,500 ",4.37%,147.2,"$303,900 ",0.96%,2013,02
York Region,157.4,"$540,100 ",3.55%,158.3,"$621,900 ",4.01%,160.7,"$465,500 ",4.42%,147.5,"$376,000 ",3.51%,144,"$312,800 ",-0.96%,2013,02
Aurora,151.0,"$486,200 ",6.79%,149.4,"$555,000 ",5.66%,153.8,"$398,100 ",4.41%,138.4,"$350,600 ",7.29%,146.8,"$305,000 ",8.02%,2013,02
