Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,156.0,"$475,900",3.38%,156.3,"$581,200",3.78%,161.3,"$455,700",4.00%,152.6,"$334,200",3.04%,149.7,"$300,600",1.84%,2013,07
City of Toronto,159.5,"$522,700",2.57%,162.7,"$705,300",2.97%,170.2,"$564,400",3.84%,156.3,"$378,000",2.09%,152.3,"$314,500",1.67%,2013,07
Toronto W01,166.2,"$678,200",1.65%,165.9,"$855,100",3.24%,178.1,"$687,200",5.32%,217.2,"$447,200",6.05%,142.6,"$332,700",-3.52%,2013,07
Toronto W02,183.2,"$660,800",5.35%,182.5,"$749,100",5.25%,205.5,"$629,500",6.15%,141.2,"$389,300",4.59%,125.9,"$523,300",6.97%,2013,07
Toronto W03,163.5,"$422,300",6.10%,165.6,"$450,400",6.91%,169.0,"$433,000",7.30%,-,-,-,130.6,"$242,200",-2.25%,2013,07
Toronto W04,143.7,"$376,300",4.28%,150.5,"$474,900",4.30%,145.1,"$422,500",4.46%,145.9,"$355,000",5.34%,127.7,"$188,100",2.74%,2013,07
Toronto W05,140.4,"$334,300",5.17%,148.1,"$493,700",5.11%,139.0,"$406,500",4.28%,134.4,"$221,300",4.59%,134.0,"$176,000",7.80%,2013,07
Toronto W06,149.1,"$432,800",1.22%,172.0,"$545,900",4.05%,154.2,"$467,500",0.13%,156.1,"$459,900",1.83%,127.9,"$316,400",-1.69%,2013,07
Toronto W07,154.4,"$658,000",3.21%,162.1,"$700,600",2.47%,155.4,"$637,200",0.78%,122.3,"$449,600",-3.62%,102.9,"$417,300",-2.74%,2013,07
Toronto W08,140.5,"$571,600",0.64%,151.3,"$791,400",1.00%,159.7,"$599,900",1.78%,135.4,"$331,000",0.15%,127.1,"$255,900",-0.55%,2013,07
Toronto W09,143.3,"$368,300",6.23%,155.8,"$582,900",1.96%,141.4,"$400,300",4.28%,146.4,"$371,400",2.52%,124.0,"$159,000",14.29%,2013,07
