Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,184.0,"$561,600",9.39%,188.3,"$700,600",10.90%,193.5,"$547,100",10.63%,179.4,"$392,400",9.46%,162.5,"$326,600",3.90%
Halton Region,193.3,"$633,200",9.02%,190.8,"$708,000",9.15%,193.8,"$502,900",9.18%,183.5,"$361,800",7.75%,-,-,-
Burlington,198.8,"$596,700",10.51%,198.0,"$697,500",11.24%,198.8,"$473,900",10.38%,188.3,"$373,300",7.35%,-,-,-
Halton Hills,176.5,"$513,900",8.88%,175.1,"$560,200",8.42%,187.7,"$462,300",9.38%,171.7,"$309,600",8.26%,-,-,-
Milton,183.7,"$507,300",9.35%,172.6,"$598,400",9.52%,187.5,"$468,100",9.78%,170.9,"$313,300",8.99%,-,-,-
Oakville,201.1,"$741,600",7.60%,199.8,"$828,100",7.53%,202.3,"$547,600",7.72%,186.8,"$412,500",7.17%,-,-,-
Peel Region,175.0,"$479,000",9.03%,177.7,"$602,300",9.69%,180.8,"$461,200",10.11%,180.1,"$372,700",9.22%,147.3,"$253,800",3.22%
Brampton,170.9,"$436,100",10.90%,171.5,"$501,600",11.22%,173.6,"$409,000",11.35%,161.4,"$299,700",7.96%,136.4,"$213,500",3.18%
Caledon,156.9,"$560,000",5.87%,158.5,"$583,200",6.52%,171.4,"$423,800",5.22%,-,-,-,-,-,-
Mississauga,179.8,"$503,100",7.99%,188.8,"$704,800",8.69%,189.9,"$518,700",9.20%,186.2,"$399,900",9.66%,149.4,"$262,000",3.32%
City of Toronto,183.6,"$602,000",6.93%,194.5,"$843,300",8.84%,199.7,"$663,500",7.89%,183.2,"$442,800",8.72%,165.4,"$341,800",3.83%
York Region,204.3,"$701,100",13.50%,206.3,"$811,000",14.36%,210.2,"$609,100",14.61%,184.7,"$469,300",11.87%,164.4,"$356,700",4.31%
Aurora,193.9,"$624,100",12.67%,193.5,"$718,900",12.30%,202.4,"$523,400",15.07%,150.1,"$380,200",1.15%,164.2,"$339,600",8.45%
East Gwillimbury,170.6,"$553,000",8.39%,171.7,"$565,900",8.26%,182.3,"$386,000",10.42%,-,-,-,-,-,-
Georgina,174.5,"$362,200",11.64%,182.4,"$375,700",12.52%,186.0,"$366,600",10.32%,-,-,-,-,-,-
King,178.0,"$754,600",4.95%,179.1,"$755,700",4.37%,206.9,"$484,500",14.63%,-,-,-,-,-,-
Markham,215.0,"$739,900",15.03%,222.4,"$914,200",16.44%,220.3,"$656,100",15.70%,195.8,"$486,400",14.91%,165.7,"$382,000",4.28%
Newmarket,184.4,"$543,800",12.71%,183.4,"$617,400",13.91%,191.6,"$451,800",13.64%,177.8,"$359,000",7.04%,165.7,"$279,100",7.32%
