Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,343.8,"1,050,300",19.92%,346.5,"1,296,300",25.59%,358.0,"1,008,500",24.13%,343.9,"740,300",19.53%,324.5,"642,600",9.04%
City of Toronto,335.5,"1,106,200",12.17%,340.2,"1,537,100",18.87%,360.3,"1,217,200",16.56%,332.8,"789,400",12.85%,325.3,"663,700",7.40%
Toronto W01,324.7,"1,386,100",14.90%,342.5,"1,907,700",16.38%,362.9,"1,442,400",17.52%,279.9,"842,200",11.12%,313.1,"707,900",13.44%
Toronto W02,383.0,"1,364,600",13.28%,362.6,"1,585,000",14.17%,414.9,"1,233,800",15.99%,399.8,"778,500",9.84%,362.7,"778,600",9.18%
Toronto W03,380.1,"980,100",19.75%,386.9,"1,047,100",21.10%,393.3,"1,007,500",21.02%,283.8,"695,900",9.32%,357.1,"610,100",13.69%
Toronto W04,350.4,"899,300",11.49%,332.6,"1,052,500",18.07%,335.6,"953,800",16.37%,296.8,"683,200",11.29%,382.4,"564,100",5.08%
Toronto W05,320.0,"760,200",17.13%,325.0,"1,089,900",17.97%,309.0,"897,600",19.49%,316.3,"574,400",16.85%,333.1,"440,100",14.62%
Toronto W06,291.1,"852,600",14.52%,378.9,"1,197,300",21.52%,345.2,"1,162,400",21.85%,347.2,"1,029,500",9.32%,239.4,"600,500",10.17%
Toronto W07,311.2,"1,376,100",19.01%,330.8,"1,517,000",20.86%,325.1,"1,351,400",20.54%,238.7,"877,500",8.90%,185.6,"752,600",6.67%
Toronto W08,296.4,"1,256,400",15.02%,303.3,"1,700,500",22.99%,331.3,"1,245,800",22.66%,337.9,"812,700",14.04%,283.9,"591,200",8.90%
Toronto W09,317.3,"827,900",19.87%,324.0,"1,256,500",24.66%,346.7,"956,300",30.05%,255.1,"708,500",8.41%,322.5,"424,900",15.38%
Toronto W10,355.0,"811,000",17.08%,332.0,"996,000",20.51%,337.4,"863,400",18.18%,396.5,"713,800",26.80%,370.9,"528,400",13.53%
Toronto C01,351.5,"881,900",5.21%,410.6,"1,608,700",2.75%,408.8,"1,493,800",3.57%,337.9,"963,100",10.64%,346.3,"721,000",5.03%
Toronto C02,327.3,"1,649,000",16.02%,315.3,"2,661,300",18.05%,334.5,"1,874,700",19.21%,317.4,"1,596,000",2.26%,323.3,"921,000",15.22%
Toronto C03,377.8,"2,189,200",15.39%,357.1,"2,420,900",17.35%,375.7,"1,449,700",22.02%,-,-,-,411.0,"1,075,100",10.45%
Toronto C04,302.2,"1,949,000",12.97%,310.5,"2,272,900",13.94%,313.8,"1,467,500",16.87%,-,-,-,264.3,"707,000",5.68%
Toronto C06,328.1,"1,322,000",14.32%,327.8,"1,459,500",19.16%,305.1,"1,124,600",11.96%,302.9,"812,400",12.90%,330.4,"710,600",11.32%
Toronto C07,334.3,"1,142,600",9.86%,355.7,"1,693,500",11.16%,283.7,"1,069,900",10.13%,304.2,"857,400",13.13%,328.4,"684,300",8.63%
Toronto C08,305.6,"793,500",2.55%,317.0,"1,856,100",3.32%,330.6,"1,577,100",11.58%,338.4,"875,100",11.68%,302.8,"648,600",1.75%
Toronto C09,261.8,"1,878,200",13.97%,262.8,"3,388,300",12.07%,264.2,"2,500,700",9.08%,295.4,"1,744,600",1.76%,253.4,"839,500",17.48%
Toronto C10,323.4,"1,278,300",8.02%,312.6,"1,930,000",17.70%,306.6,"1,514,700",20.71%,288.4,"966,700",3.04%,331.4,"791,400",5.04%
